regulator,target
Crp,cstA
Crp,cyaA
Crp,cyaR
Crp,cyoA
Crp,cyoB
Crp,cyoC
Crp,cyoD
Crp,cyoE
Crp,cysG
Crp,dctA
Crp,dcuA
Crp,dcuB
Crp,DcuR
Crp,dgoA
Crp,dgoD
Crp,dgoK
Crp,DgoR
Crp,dgoT
Crp,DksA
Crp,DpiA
Crp,dpiB
Crp,dsdA
Crp,dsdX
Crp,ebgA
Crp,ebgC
Crp,entA
Crp,entB
Crp,entC
Crp,entD
Crp,entE
Crp,entH
Crp,epd
Crp,ExuR
Crp,exuT
Crp,fadD
Crp,fadH
Crp,fadL
Crp,fbaA
Crp,feaB
Crp,FeaR
Crp,fecA
Crp,fecB
Crp,fecC
Crp,fecD
Crp,fecE
Crp,fepA
Crp,fiu
Crp,fixA
Crp,fixB
Crp,fixC
Crp,fixX
Crp,FlhDC
Crp,focA
Crp,focB
Crp,frlA
Crp,frlB
Crp,frlC
Crp,frlD
Crp,FrlR
Crp,fucA
Crp,fucI
Crp,fucK
Crp,fucO
Crp,fucP
Crp,FucR
Crp,fucU
Crp,fumA
Crp,fumB
Crp,Fur
Crp,gabD
Crp,gabP
Crp,gabT
Crp,gadA
Crp,gadB
Crp,gadC
Crp,GadE
Crp,GadE-RcsB
Crp,gadF
Crp,GadX
Crp,galP
Crp,GalS
Crp,gapA
Crp,gatA
Crp,gatB
Crp,gatD
Crp,gatY
Crp,gatZ
Crp,gcd
Crp,gcvH
Crp,gcvP
Crp,gcvT
Crp,gdhA
Crp,glaH
Crp,GlcC
Crp,glgA
Crp,glgC
Crp,glgP
Crp,glgS
Crp,glpA
Crp,glpB
Crp,glpC
Crp,glpD
Crp,glpE
Crp,glpF
Crp,glpG
Crp,glpK
Crp,glpQ
Crp,glpT
Crp,glpX
Crp,gltA
Crp,gltB
Crp,gltD
Crp,gltF
Crp,gntK
Crp,gntP
Crp,gntT
Crp,gntU
Crp,gpsA
Crp,grcA
Crp,grpE
Crp,guaA
Crp,guaB
Crp,GutM
Crp,gutQ
Crp,gyrA
Crp,hflC
Crp,hflK
Crp,hflX
Crp,hfq
Crp,hicA
Crp,HicB
Crp,hlyE
Crp,hofB
Crp,hofC
Crp,hofM
Crp,hofN
Crp,hofO
Crp,hofP
Crp,hpt
Crp,HU
Crp,hyfA
Crp,hyfB
Crp,hyfC
Crp,hyfD
Crp,hyfE
Crp,hyfF
Crp,hyfG
Crp,hyfH
Crp,hyfI
Crp,hyfJ
Crp,HyfR
Crp,idnD
Crp,idnK
Crp,idnO
Crp,IdnR
Crp,idnT
Crp,ilvB
Crp,ilvN
Crp,infB
Crp,ivbL
Crp,kbaZ
Crp,LacI
Crp,lamB
Crp,lgoR
Crp,lhgD
Crp,lsrA
Crp,lsrB
Crp,lsrC
Crp,lsrD
Crp,lsrF
Crp,lsrG
Crp,lsrK
Crp,LsrR
Crp,malE
Crp,malF
Crp,malG
Crp,malH
Crp,malK
Crp,malM
Crp,malS
Crp,MalT
Crp,malX
Crp,malY
Crp,manX
Crp,manY
Crp,manZ
Crp,MarA
Crp,marB
Crp,MarR
Crp,MazE
Crp,MazE-MazF
Crp,mcaS
Crp,mdh
