Proteins,regulator,"Genes of polypeptide, complex, or RNA",Bnb,Gene,Category,Effectors
aminopeptidase A/I,PepA,pepA,b4260,pepA,TF,Zn<SUP>2+</SUP> // hydrogen carbonate
DNA-binding transcriptional repressor PgrR,PgrR,pgrR,b1328,pgrR,TF,
DNA-binding transcriptional dual regulator PhoB-phosphorylated,PhoB,phoB,b0399,phoB,TF,phosphate
DNA-binding transcriptional dual regulator PhoP-phosphorylated,PhoP,phoP,b1130,phoP,TF,phosphate
DNA-binding transcriptional repressor PlaR,PlaR,plaR,b3574,plaR,TF,
"DNA-binding transcriptional dual regulator PrpR-(2<i>S</i>,3<i>S</i>)-2-methylcitrate",PrpR,prpR,b0330,prpR,TF,"(2<i>S</i>,3<i>S</i>)-2-methylcitrate"
DNA-binding transcriptional dual regulator PspF,PspF,pspF,b1303,pspF,TF,
DNA-binding transcriptional repressor PtrR,PtrR,ptrR,b1526,ptrR,TF,4-aminobutanoate
DNA-binding transcriptional repressor PurR-hypoxanthine,PurR,purR,b1658,purR,TF,hypoxanthine
fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA,PutA,putA,b1014,putA,TF,
DNA-binding transcriptional repressor PuuR,PuuR,puuR,b1299,puuR,TF,putrescine
PyrR-pyruvate,PyrR,pyrR,b2381,pyrR,TF,pyruvate
Phosphorylated DNA-binding transcriptional activator QseB,QseB,qseB,b3025,qseB,TF,phosphate
Rac prophage; DNA-binding transcriptional repressor RacR,RacR,racR,b1356,racR,TF,
DNA-binding transcriptional dual regulator RbsR,RbsR,rbsR,b3753,rbsR,TF,D-ribose
DNA binding transcriptional dual regulator RcdA,RcdA,rcdA,b0846,rcdA,TF,trimethylamine <i>N</i>-oxide // tris
DNA-binding transcriptional activator RclR,RclR,rclR,b0305,rclR,TF,
DNA-binding transcriptional repressor RcnR,RcnR,rcnR,b2105,rcnR,TF,Ni<sup>2+</sup> // Co<SUP>2+</SUP>
RcsAB DNA-binding transcriptional dual regulator,RcsAB,"rcsB,rcsA","b2217,b1951","rcsB,rcsA",TF,
DNA-binding transcriptional dual regulator RcsB-phosphorylated,RcsB,rcsB,b2217,rcsB,TF,phosphate
RcsB-BglJ DNA-binding transcriptional activator,RcsB-BglJ,"bglJ,rcsB","b4366,b2217","bglJ,rcsB",TF,
Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB,RelB,relB,b1564,relB,TF,
RelB-RelE antitoxin/toxin complex / DNA-binding transcriptional repressor,RelB-RelE,"relB,relE","b1564,b1563","relB,relE",TF,
RhaR-L-rhamnose DNA-binding transcriptional activator,RhaR,rhaR,b3906,rhaR,TF,L-rhamnose
DNA-binding transcriptional activator RhaS,RhaS,rhaS,b3905,rhaS,TF,L-rhamnose
DNA-binding transcriptional dual regulator Rob,Rob,rob,b4396,rob,TF,
RNA polymerase sigma factor RpoN,RpoN,rpoN,b3202,rpoN,sigma,
DNA-binding transcriptional repressor RspR,RspR,rspR,b1540,rspR,TF,
DNA-binding transcriptional regulator RstA-phosphorylated,RstA,rstA,b1608,rstA,TF,phosphate
DNA-binding transcriptional activator RtcR,RtcR,rtcR,b3422,rtcR,TF,
DNA-binding transcriptional dual regulator RutR,RutR,rutR,b1013,rutR,TF,thymine // uracil
