Proteins,regulator,"Genes of polypeptide, complex, or RNA",Bnb,Gene,Category,Regulated,Regulated_Bnb,Inhibited,Inhibited_Bnb,Activated,Activated_Bnb
FucR-L-fuculose-1-phosphate DNA-binding transcriptional activator,FucR,fucR,b2805,fucR,TF,"fucP,fucI,fucK,fucU,fucR,fucO,fucA","b2801,b2802,b2803,b2804,b2805,b2799,b2800",,,"fucP,fucI,fucK,fucU,fucR,fucO,fucA","b2801,b2802,b2803,b2804,b2805,b2799,b2800"
"ExuR-&alpha;-D-galacturonate, &alpha;-D-glucuronate-DNA-binding transcriptional repressor",ExuR,exuR,b3094,exuR,TF,"lgoD,lgoR","b4358,b4357","exuR,uxaB,uxaA,uxaC,uxuR,exuT,uxuB,uxuA,lgoD,lgoR","b3094,b1521,b3091,b3092,b4324,b3093,b4323,b4322,b4358,b4357",,
FadR-an acyl-CoA,FadR,fadR,b1187,fadR,TF,fadR,b1187,"fadM,fadH,fadJ,fadI,sroD,fadD,fadE,uspA,fadL,fadA,fadB","b0443,b3081,b2341,b2342,b1805,b0221,b3495,b2344,b3845,b3846","accD,accC,accB,accA,fabI,fabH,fabD,fabG,fabB,iclR,fabA,fadR","b2316,b3256,b3255,b0185,b1288,b1091,b1092,b1093,b2323,b4018,b0954,b1187"
DNA-binding transcriptional activator MelR-melibiose,MelR,melR,b4118,melR,TF,"melA,melB,melR","b4119,b4120,b4118","melA,melB,melR","b4119,b4120,b4118","melA,melB,melR","b4119,b4120,b4118"
NhaR-Na<SUP>+</SUP> DNA-binding transcriptional activator,NhaR,nhaR,b0020,nhaR,TF,"pgaD,pgaC,pgaB,pgaA,nhaR,nhaA,osmC","b1021,b1022,b1023,b1024,b0020,b0019,b1482",,,"pgaD,pgaC,pgaB,pgaA,nhaR,nhaA,osmC","b1021,b1022,b1023,b1024,b0020,b0019,b1482"
DNA-binding transcriptional repressor TrpR-L-tryptophan,TrpR,trpR,b4393,trpR,TF,"trpR,trpA,trpB,trpC,trpD,trpE,trpL,mtr,aroL,yaiA,aroM,aroH","b4393,b1260,b1261,b1262,b1263,b1264,b1265,b3161,b0388,b0389,b0390,b1704","trpR,trpA,trpB,trpC,trpD,trpE,trpL,mtr,aroL,yaiA,aroM,aroH","b4393,b1260,b1261,b1262,b1263,b1264,b1265,b3161,b0388,b0389,b0390,b1704",,
ArgP-L-arginine  DNA-binding transcriptional dual regulator,ArgP,argP,b2916,argP,TF,"argP,argO","b2916,b2923",argP,b2916,"asd,dapD,lysA,lysC,gdhA,lysP,dapB,recF,dnaN,dnaA,yfaE,nrdA,nrdB,argO","b3433,b0166,b2838,b4024,b1761,b2156,b0031,b3700,b3701,b3702,b2236,b2234,b2235,b2923"
XynR-D-xylonate,XynR,xynR,b0272,xynR,TF,"yagF,yagE,yagA,yagB,insX","b0269,b0268,b0267,b0266,b4505","yagF,yagE,yagA,yagB,insX","b0269,b0268,b0267,b0266,b4505",,
CynR-cyanate DNA-binding transcriptional dual regulator,CynR,cynR,b0338,cynR,TF,"cynT,cynS,cynX","b0339,b0340,b0341",cynR,b0338,"cynT,cynS,cynX","b0339,b0340,b0341"
CRP-cyclic-AMP DNA-binding transcriptional dual regulator,Crp,crp,b3357,crp,TF,"cycA,ytfK,frlR,frlD,frlC,frlB,frlA,cirA,yjhI,yjhH,yjhG,sdhX,sdhC,sucA,sucB,sucC,sucD,fumA,dctA,cas3,dcuA,aspA,hicB,hicA,abgR,sgcX,sgcB,sgcC,sgcQ,sgcA,sgcE,sgcR,ortT,ygcW,ygeW,mokB,rihA,psuK,psuG,yahN,yqeF,rspA,rspB,dgoR,dgoK,dgoA,dgoD,dgoT,xylE,csqR,lgoD,lgoR,exuR,rseD,rseC,rseB,rseA,rpoE,ompW,csrC,secB,gpsA,pck,chiZ,chiQ,chiP,casA,casB,casC,casD,casE,cas1,cas2,cspD,feaB,rpsF,priB,rpsR,rplI,rpsI,rplM,raiZ,raiA,rmf,puuE,puuB,puuC,puuR,puuD,ycdZ,fumC,btsT,manA,mcaS,gcvP,gcvH,gcvT,citG,citX,citF,citE,citD,citC,dpiA,dpiB,patZ,cspE,hflC,hflK,hflX,hfq,aegA,narQ,ampD,ampE,bhsA,ybiT,yaeP,rof,yeiW,ldtB,aaeR,aaeX,aaeA,aaeB,yeiP,comR,nlpE,arfB,yaeQ,nadC,lacI,mhpR,uxaB,fadH,ykgR,azuC,trg,ascF,ascB,hofM,hofN,hofO,hofP,ppdD,hofB,hofC,murP,murQ,sbmC,lsrK,lsrR,cyaR,preA,preT,dksA,sfsA,dcuR,ychH,aer,sohB,grcA,ptsG,mpl,gdhA,sodB,nanQ,nanK,nanE,nanT,nanA,gcd,hpt,metK,fiu,mhpF,mhpE,mhpD,mhpC,mhpB,mhpA,serA,trxA,prpE,prpD,prpC,prpB,gabP,gabT,gabD,lhgD,glaH,actP,yjcH,acs,nagE,bglB,bglF,bglG,idnR,idnT,idnO,idnD,idnK,uxaA,uxaC,nfuA,yhgH,gntP,gapA,ulaF,ulaE,ulaD,ulaC,ulaB,ulaA,uidC,uidB,uidA,uxuR,gadF,mdtF,mdtE,gadE,argG,nanS,nanM,nanC,cstA,galP,prpR,agp,glcC,cdd,aldA,rhaD,rhaA,rhaB,treC,treB,guaA,guaB,marR,marA,marB,gntT,tsx,aldB,uhpT,sroD,fadD,agaA,agaW,agaV,kbaZ,mdh,gltA,cyoE,cyoD,cyoC,cyoB,cyoA,entD,fepA,nupC,ebgA,ebgC,exuT,glpX,glpK,glpF,gatD,gatC,gatB,gatA,gatZ,gatY,manX,manY,manZ,pncB,mtlA,mtlD,mtlR,gyrA,melA,melB,ubiG,tdcG,tdcF,tdcE,tdcD,tdcC,tdcB,tdcA,nupG,caiE,caiD,caiC,caiB,caiA,caiT,fbaA,pgk,epd,rpoS,speC,malX,malY,fucP,fucI,fucK,fucU,fucR,malS,flhC,flhD,fucO,fucA,udp,srlA,srlE,srlB,srlD,gutM,srlR,gutQ,ygeA,araE,ansB,sodA,rhaS,rhaR,araJ,araH,araG,araF,malT,tnaC,tnaA,tnaB,rpoH,glgP,glgA,glgC,cpdB,crp,osmY,psiE,entC,entE,entB,entA,entH,mglC,mglA,mglB,rhaT,rbsR,rbsD,rbsA,rbsC,rbsB,rbsK,csgG,csgF,csgE,csgD,ppiA,proP,fecE,fecD,fecC,fecB,fecA,tam,lsrG,lsrF,lsrB,lsrD,lsrC,lsrA,dsdX,dsdA,yhfA,gntU,gntK,glgS,malI,gltB,gltD,gltF,fur,cytR,ugpQ,ugpC,ugpE,ugpA,ugpB,ptsH,ptsI,crr,pflB,focA,sdhB,sdhA,sdhD,fixX,fixC,fixB,fixA,caiF,csiE,pdhR,aceE,aceF,lpd,modA,modB,modC,chbG,chbF,chbR,chbA,chbC,chbB,envZ,ompR,paaZ,paaK,paaJ,paaI,paaH,paaG,paaF,paaE,paaD,paaC,paaB,paaA,grpE,nmpC,xylF,xylG,xylH,xylR,xylB,xylA,hupA,dadX,dadA,glpR,glpG,glpE,gadX,gadA,gadC,gadB,plaR,uxuB,uxuA,feaR,xseA,hupB,hlyE,acnB,acnA,fumB,dcuB,yiaM,sgbE,sgbU,sgbH,lyxK,yiaO,yiaN,yiaL,yiaK,putP,focB,hyfR,hyfJ,hyfI,hyfH,hyfG,hyfF,hyfE,hyfD,hyfC,hyfB,hyfA,spf,pnp,rpsO,truB,rbfA,infB,nusA,rimP,metY,bidA,mlc,zraR,zraS,serC,aroA,deoC,deoA,deoB,deoD,cyaA,araC,araD,araA,araB,aceB,aceA,aceK,malK,lamB,malM,malH,malG,malF,malE,lacA,lacY,lacZ,ilvN,ilvB,ivbL,glpQ,glpT,glpD,glpA,glpB,glpC,glnG,glnL,glnA,galM,galK,galT,galE,galS,dusB,fis,mazF,mazE,relA,oxyR,ompF,ompA,yfaE,nrdA,nrdB,nirB,nirD,nirC,cysG,umpH,nagC,nagA,nagB,melR,fadL","b4208,b4217,b3375,b3374,b4474,b3371,b3370,b2155,b4299,b4298,b4297,b4764,b0721,b0726,b0727,b0728,b0729,b1612,b3528,b2761,b4138,b4139,b1438,b4532,b1339,b4305,b4565,b4304,b4303,b4302,b4301,b4300,b1445,b2774,b2870,b1420,b0651,b2166,b2165,b0328,b2844,b1581,b1580,b4479,b3693,b4477,b4478,b3691,b4031,b3884,b4358,b4357,b3094,b4725,b2570,b2571,b2572,b2573,b1256,b4457,b3609,b3608,b3403,b4808,b0682,b0681,b2760,b2759,b2758,b2757,b2756,b2755,b2754,b0880,b1385,b4200,b4201,b4202,b4203,b3230,b3231,b4805,b2597,b0953,b1302,b1301,b1300,b1299,b1298,b1036,b1611,b4354,b1613,b4426,b2903,b2904,b2905,b0613,b0614,b0615,b0616,b0617,b0618,b0620,b0619,b2584,b0623,b4175,b4174,b4173,b4172,b2468,b2469,b0110,b0111,b1112,b0820,b4406,b0189,b4502,b0819,b3243,b3242,b3241,b3240,b2171,b1111,b0192,b0191,b0190,b0109,b0345,b0346,b1521,b3081,b4671,b4663,b1421,b2715,b2716,b3395,b3394,b3393,b3392,b0108,b0107,b0106,b2429,b2428,b2009,b1511,b1512,b4438,b2147,b2146,b0145,b0146,b4124,b1205,b3072,b1272,b2579,b1101,b4233,b1761,b1656,b3221,b3222,b3223,b3224,b3225,b0124,b0125,b2942,b0805,b0351,b0352,b0350,b0349,b0348,b0347,b2913,b3781,b0335,b0334,b0333,b0331,b2663,b2662,b2661,b2660,b2659,b4067,b4068,b4069,b0679,b3721,b3722,b3723,b4264,b4265,b4266,b4267,b4268,b3091,b3092,b3414,b3413,b4321,b1779,b4198,b4197,b4196,b4195,b4194,b4193,b1615,b1616,b1617,b4324,b4718,b3514,b3513,b3512,b3172,b4309,b4310,b4311,b0598,b2943,b0330,b1002,b2980,b2143,b1415,b3902,b3903,b3904,b4239,b4240,b2507,b2508,b1530,b1531,b1532,b3415,b0411,b3588,b3666,b1805,b3135,b3134,b3133,b3132,b3236,b0720,b0428,b0429,b0430,b0431,b0432,b0583,b0584,b2393,b3076,b3077,b3093,b3925,b3926,b3927,b2091,b2092,b2093,b2094,b2095,b2096,b1817,b1818,b1819,b0931,b3599,b3600,b3601,b2231,b4119,b4120,b2232,b4471,b3113,b3114,b3115,b3116,b3117,b3118,b2964,b0035,b0036,b0037,b0038,b0039,b0040,b2925,b2926,b2927,b2741,b2965,b1621,b1622,b2801,b2802,b2803,b2804,b2805,b3571,b1891,b1892,b2799,b2800,b3831,b2702,b2703,b2704,b2705,b2706,b2707,b2708,b2840,b2841,b2957,b3908,b3905,b3906,b0396,b4460,b1900,b1901,b3418,b3707,b3708,b3709,b3461,b3428,b3429,b3430,b4213,b3357,b4376,b4030,b0593,b0594,b0595,b0596,b0597,b2148,b2149,b2150,b3907,b3753,b3748,b3749,b3750,b3751,b3752,b1037,b1038,b1039,b1040,b3363,b4111,b4287,b4288,b4289,b4290,b4291,b1519,b1518,b1517,b1516,b1515,b1514,b1513,b2365,b2366,b3356,b4476,b3437,b3049,b1620,b3212,b3213,b3214,b0683,b3934,b3449,b3450,b3451,b3452,b3453,b2415,b2416,b2417,b0903,b0904,b0724,b0723,b0722,b0044,b0043,b0042,b0041,b0034,b2535,b0113,b0114,b0115,b0116,b0763,b0764,b0765,b1733,b1734,b1735,b1736,b1737,b1738,b3404,b3405,b1387,b1398,b1397,b1396,b1395,b1394,b1393,b1392,b1391,b1390,b1389,b1388,b2614,b0553,b3566,b3567,b3568,b3569,b3564,b3565,b4000,b1190,b1189,b3423,b3424,b3425,b3516,b3517,b1492,b1493,b3574,b4323,b4322,b1384,b2509,b0440,b1182,b0118,b1276,b4122,b4123,b3577,b3583,b3582,b3581,b3580,b3579,b3578,b3576,b3575,b1015,b2492,b2491,b2490,b2489,b2488,b2487,b2486,b2485,b2484,b2483,b2482,b2481,b3864,b3164,b3165,b3166,b3167,b3168,b3169,b3170,b3171,b1593,b1594,b4004,b4003,b0907,b0908,b4381,b4382,b4383,b4384,b3806,b0064,b0061,b0062,b0063,b4014,b4015,b4016,b4035,b4036,b4037,b4807,b4032,b4033,b4034,b0342,b0343,b0344,b3670,b3671,b3672,b2239,b2240,b3426,b2241,b2242,b2243,b3868,b3869,b3870,b0756,b0757,b0758,b0759,b2151,b3260,b3261,b2782,b2783,b2784,b3961,b0929,b0957,b2236,b2234,b2235,b3365,b3366,b3367,b3368,b0675,b0676,b0677,b0678,b4118,b2344","ortT,csqR,ybiT,exuR,ompW,csrC,pck,casA,casB,casC,casD,casE,cas1,cas2,rpsI,rplM,puuE,puuB,puuC,puuR,puuD,ycdZ,manA,citG,citX,citF,citE,citD,citC,dpiA,dpiB,hflC,hflK,hflX,hfq,aegA,narQ,ampD,ampE,bhsA,yaeP,rof,ldtB,aaeR,comR,nlpE,arfB,yaeQ,azuC,udp,malI,cytR,nagE,deoC,deoA,deoB,deoD,dusB,fis,umpH,nagC,nagA,nagB,tsx,dadX,dadA,sohB,gdhA,sodB,gcd,metK,trxA,lacA,lacY,lacZ,gadF,mdtF,mdtE,gadE,cdd,treC,treB,glnG,glnL,glnA,lpd,proP,pncB,nupG,rpoS,speC,araJ,rpoH,crp,osmY,psiE,ppiA,yhfA,gltB,gltD,gltF,ptsH,ptsI,crr,envZ,ompR,gadX,gadA,gadC,gadB,plaR,xseA,putP,spf,pnp,rpsO,truB,rbfA,infB,nusA,rimP,metY,mlc,serC,aroA,cyaA,aceB,aceA,aceK,galM,galK,galT,galE,nirB,nirD,nirC,cysG","b1445,b3884,b0820,b3094,b1256,b4457,b3403,b2760,b2759,b2758,b2757,b2756,b2755,b2754,b3230,b3231,b1302,b1301,b1300,b1299,b1298,b1036,b1613,b0613,b0614,b0615,b0616,b0617,b0618,b0620,b0619,b4175,b4174,b4173,b4172,b2468,b2469,b0110,b0111,b1112,b4406,b0189,b0819,b3243,b1111,b0192,b0191,b0190,b4663,b3831,b1620,b3934,b0679,b4381,b4382,b4383,b4384,b3260,b3261,b0675,b0676,b0677,b0678,b0411,b1190,b1189,b1272,b1761,b1656,b0124,b2942,b3781,b0342,b0343,b0344,b4718,b3514,b3513,b3512,b2143,b4239,b4240,b3868,b3869,b3870,b0116,b4111,b0931,b2964,b2741,b2965,b0396,b3461,b3357,b4376,b4030,b3363,b3356,b3212,b3213,b3214,b2415,b2416,b2417,b3404,b3405,b3516,b3517,b1492,b1493,b3574,b2509,b1015,b3864,b3164,b3165,b3166,b3167,b3168,b3169,b3170,b3171,b1594,b0907,b0908,b3806,b4014,b4015,b4016,b0756,b0757,b0758,b0759,b3365,b3366,b3367,b3368","sxy,cycA,ytfK,frlR,frlD,frlC,frlB,frlA,cirA,yjhI,yjhH,yjhG,sdhX,sdhC,sucA,sucB,sucC,sucD,pck,fumA,dctA,cas3,dcuA,aspA,hicB,hicA,abgR,sgcX,sgcB,sgcC,sgcQ,sgcA,sgcE,sgcR,ygcW,ygeW,mokB,rihA,psuK,psuG,yahN,yqeF,rspA,rspB,dgoR,dgoK,dgoA,dgoD,dgoT,xylE,csqR,ldtB,lgoD,lgoR,rseD,rseC,rseB,rseA,rpoE,secB,gpsA,chiZ,chiQ,chiP,cspD,feaB,rpsF,priB,rpsR,rplI,raiZ,raiA,rmf,ycdZ,fumC,btsT,manA,mcaS,gcvP,gcvH,gcvT,patZ,cspE,ybiT,yeiW,aaeX,aaeA,aaeB,yeiP,nadC,lacI,mhpR,uxaB,fadH,ykgR,trg,ascF,ascB,hofM,hofN,hofO,hofP,ppdD,hofB,hofC,murP,murQ,sbmC,lsrK,lsrR,cyaR,preA,preT,dksA,sfsA,dcuR,ychH,aer,grcA,ptsG,mpl,nanQ,nanK,nanE,nanT,nanA,hpt,fiu,mhpF,mhpE,mhpD,mhpC,mhpB,mhpA,serA,prpE,prpD,prpC,prpB,gabP,gabT,gabD,lhgD,glaH,actP,yjcH,acs,nagE,bglB,bglF,bglG,idnR,idnT,idnO,idnD,idnK,uxaA,uxaC,nfuA,yhgH,gntP,gapA,ulaF,ulaE,ulaD,ulaC,ulaB,ulaA,uidC,uidB,uidA,uxuR,argG,nanS,nanM,nanC,cstA,galP,prpR,agp,glcC,cdd,aldA,rhaD,rhaA,rhaB,guaA,guaB,marR,marA,marB,gntT,tsx,aldB,uhpT,sroD,fadD,agaA,agaW,agaV,kbaZ,mdh,gltA,cyoE,cyoD,cyoC,cyoB,cyoA,entD,fepA,nupC,ebgA,ebgC,exuT,glpX,glpK,glpF,gatD,gatC,gatB,gatA,gatZ,gatY,manX,manY,manZ,mtlA,mtlD,mtlR,gyrA,melA,melB,ubiG,tdcG,tdcF,tdcE,tdcD,tdcC,tdcB,tdcA,nupG,caiE,caiD,caiC,caiB,caiA,caiT,fbaA,pgk,epd,malX,malY,fucP,fucI,fucK,fucU,fucR,malS,flhC,flhD,fucO,fucA,udp,srlA,srlE,srlB,srlD,gutM,srlR,gutQ,ygeA,araE,ansB,sodA,rpoH,rhaS,rhaR,araJ,araH,araG,araF,malT,tnaC,tnaA,tnaB,glgP,glgA,glgC,cpdB,crp,entC,entE,entB,entA,entH,mglC,mglA,mglB,rhaT,rbsR,rbsD,rbsA,rbsC,rbsB,rbsK,csgG,csgF,csgE,csgD,ppiA,proP,fecE,fecD,fecC,fecB,fecA,tam,lsrG,lsrF,lsrB,lsrD,lsrC,lsrA,dsdX,dsdA,yhfA,gntU,gntK,glgS,malI,fur,cytR,ugpQ,ugpC,ugpE,ugpA,ugpB,ptsH,ptsI,crr,pflB,focA,sdhB,sdhA,sdhD,fixX,fixC,fixB,fixA,caiF,csiE,pdhR,aceE,aceF,lpd,modA,modB,modC,chbG,chbF,chbR,chbA,chbC,chbB,envZ,ompR,paaZ,paaK,paaJ,paaI,paaH,paaG,paaF,paaE,paaD,paaC,paaB,paaA,grpE,nmpC,xylF,xylG,xylH,xylR,xylB,xylA,hupA,dadX,dadA,glpR,glpG,glpE,uxuB,uxuA,feaR,hupB,hlyE,acnB,acnA,fumB,dcuB,yiaM,sgbE,sgbU,sgbH,lyxK,yiaO,yiaN,yiaL,yiaK,focB,hyfR,hyfJ,hyfI,hyfH,hyfG,hyfF,hyfE,hyfD,hyfC,hyfB,hyfA,bidA,mlc,zraR,zraS,deoC,deoA,deoB,deoD,araC,araD,araA,araB,malK,lamB,malM,malH,malG,malF,malE,lacA,lacY,lacZ,ilvN,ilvB,ivbL,glpQ,glpT,glpD,glpA,glpB,glpC,glnG,glnL,glnA,galM,galK,galT,galE,galS,dusB,fis,mazF,mazE,relA,oxyR,ompF,ompA,yfaE,nrdA,nrdB,umpH,nagC,nagA,nagB,melR,fadL","b0959,b4208,b4217,b3375,b3374,b4474,b3371,b3370,b2155,b4299,b4298,b4297,b4764,b0721,b0726,b0727,b0728,b0729,b3403,b1612,b3528,b2761,b4138,b4139,b1438,b4532,b1339,b4305,b4565,b4304,b4303,b4302,b4301,b4300,b2774,b2870,b1420,b0651,b2166,b2165,b0328,b2844,b1581,b1580,b4479,b3693,b4477,b4478,b3691,b4031,b3884,b0819,b4358,b4357,b4725,b2570,b2571,b2572,b2573,b3609,b3608,b4808,b0682,b0681,b0880,b1385,b4200,b4201,b4202,b4203,b4805,b2597,b0953,b1036,b1611,b4354,b1613,b4426,b2903,b2904,b2905,b2584,b0623,b0820,b4502,b3242,b3241,b3240,b2171,b0109,b0345,b0346,b1521,b3081,b4671,b1421,b2715,b2716,b3395,b3394,b3393,b3392,b0108,b0107,b0106,b2429,b2428,b2009,b1511,b1512,b4438,b2147,b2146,b0145,b0146,b4124,b1205,b3072,b2579,b1101,b4233,b3221,b3222,b3223,b3224,b3225,b0125,b0805,b0351,b0352,b0350,b0349,b0348,b0347,b2913,b0335,b0334,b0333,b0331,b2663,b2662,b2661,b2660,b2659,b4067,b4068,b4069,b0679,b3721,b3722,b3723,b4264,b4265,b4266,b4267,b4268,b3091,b3092,b3414,b3413,b4321,b1779,b4198,b4197,b4196,b4195,b4194,b4193,b1615,b1616,b1617,b4324,b3172,b4309,b4310,b4311,b0598,b2943,b0330,b1002,b2980,b2143,b1415,b3902,b3903,b3904,b2507,b2508,b1530,b1531,b1532,b3415,b0411,b3588,b3666,b1805,b3135,b3134,b3133,b3132,b3236,b0720,b0428,b0429,b0430,b0431,b0432,b0583,b0584,b2393,b3076,b3077,b3093,b3925,b3926,b3927,b2091,b2092,b2093,b2094,b2095,b2096,b1817,b1818,b1819,b3599,b3600,b3601,b2231,b4119,b4120,b2232,b4471,b3113,b3114,b3115,b3116,b3117,b3118,b2964,b0035,b0036,b0037,b0038,b0039,b0040,b2925,b2926,b2927,b1621,b1622,b2801,b2802,b2803,b2804,b2805,b3571,b1891,b1892,b2799,b2800,b3831,b2702,b2703,b2704,b2705,b2706,b2707,b2708,b2840,b2841,b2957,b3908,b3461,b3905,b3906,b0396,b4460,b1900,b1901,b3418,b3707,b3708,b3709,b3428,b3429,b3430,b4213,b3357,b0593,b0594,b0595,b0596,b0597,b2148,b2149,b2150,b3907,b3753,b3748,b3749,b3750,b3751,b3752,b1037,b1038,b1039,b1040,b3363,b4111,b4287,b4288,b4289,b4290,b4291,b1519,b1518,b1517,b1516,b1515,b1514,b1513,b2365,b2366,b3356,b4476,b3437,b3049,b1620,b0683,b3934,b3449,b3450,b3451,b3452,b3453,b2415,b2416,b2417,b0903,b0904,b0724,b0723,b0722,b0044,b0043,b0042,b0041,b0034,b2535,b0113,b0114,b0115,b0116,b0763,b0764,b0765,b1733,b1734,b1735,b1736,b1737,b1738,b3404,b3405,b1387,b1398,b1397,b1396,b1395,b1394,b1393,b1392,b1391,b1390,b1389,b1388,b2614,b0553,b3566,b3567,b3568,b3569,b3564,b3565,b4000,b1190,b1189,b3423,b3424,b3425,b4323,b4322,b1384,b0440,b1182,b0118,b1276,b4122,b4123,b3577,b3583,b3582,b3581,b3580,b3579,b3578,b3576,b3575,b2492,b2491,b2490,b2489,b2488,b2487,b2486,b2485,b2484,b2483,b2482,b2481,b1593,b1594,b4004,b4003,b4381,b4382,b4383,b4384,b0064,b0061,b0062,b0063,b4035,b4036,b4037,b4807,b4032,b4033,b4034,b0342,b0343,b0344,b3670,b3671,b3672,b2239,b2240,b3426,b2241,b2242,b2243,b3868,b3869,b3870,b0756,b0757,b0758,b0759,b2151,b3260,b3261,b2782,b2783,b2784,b3961,b0929,b0957,b2236,b2234,b2235,b0675,b0676,b0677,b0678,b4118,b2344"
CaiF-L-carnitine DNA-binding Transcriptional Activator,CaiF,caiF,b0034,caiF,TF,"fixX,fixC,fixB,fixA,caiE,caiD,caiC,caiB,caiA,caiT","b0044,b0043,b0042,b0041,b0035,b0036,b0037,b0038,b0039,b0040",,,"fixX,fixC,fixB,fixA,caiE,caiD,caiC,caiB,caiA,caiT","b0044,b0043,b0042,b0041,b0035,b0036,b0037,b0038,b0039,b0040"
FhlA-formate DNA-binding transcriptional activator,FhlA,fhlA,b2731,fhlA,TF,"fhlA,hypA,hypB,hypC,hypD,hypE,hycI,hycH,hycG,hycF,hycE,hycD,hycC,hycB,hycA,fdhF,hypF,hydN,focB,hyfR,hyfJ,hyfI,hyfH,hyfG,hyfF,hyfE,hyfD,hyfC,hyfB,hyfA","b2731,b2726,b2727,b2728,b2729,b2730,b2717,b2718,b2719,b2720,b2721,b2722,b2723,b2724,b2725,b4079,b2712,b2713,b2492,b2491,b2490,b2489,b2488,b2487,b2486,b2485,b2484,b2483,b2482,b2481",,,"fhlA,hypA,hypB,hypC,hypD,hypE,hycI,hycH,hycG,hycF,hycE,hycD,hycC,hycB,hycA,fdhF,hypF,hydN,focB,hyfR,hyfJ,hyfI,hyfH,hyfG,hyfF,hyfE,hyfD,hyfC,hyfB,hyfA","b2731,b2726,b2727,b2728,b2729,b2730,b2717,b2718,b2719,b2720,b2721,b2722,b2723,b2724,b2725,b4079,b2712,b2713,b2492,b2491,b2490,b2489,b2488,b2487,b2486,b2485,b2484,b2483,b2482,b2481"
DNA-binding transcriptional dual regulator ModE-molybdate,ModE,modE,b0761,modE,TF,"moaE,moaD,moaC,moaB,moaA,dmsC,dmsB,dmsA,hycI,hycH,hycG,hycF,hycE,hycD,hycC,hycB,hycA,oppA,oppB,oppC,oppD,oppF,narL,narX,modA,modB,modC,ccmH,ccmG,ccmF,ccmE,ccmD,ccmC,ccmB,ccmA,napC,napB,napH,napG,napA,napD,napF,deoC,deoA,deoB,deoD","b0785,b0784,b0783,b0782,b0781,b0896,b0895,b0894,b2717,b2718,b2719,b2720,b2721,b2722,b2723,b2724,b2725,b1243,b1244,b1245,b1246,b1247,b1221,b1222,b0763,b0764,b0765,b2194,b2195,b2196,b2197,b2198,b2199,b2200,b2201,b2202,b2203,b2204,b2205,b2206,b2207,b2208,b4381,b4382,b4383,b4384","dmsC,dmsB,dmsA,oppA,oppB,oppC,oppD,oppF,modA,modB,modC,deoC,deoA,deoB,deoD","b0896,b0895,b0894,b1243,b1244,b1245,b1246,b1247,b0763,b0764,b0765,b4381,b4382,b4383,b4384","moaE,moaD,moaC,moaB,moaA,hycI,hycH,hycG,hycF,hycE,hycD,hycC,hycB,hycA,narL,narX,ccmH,ccmG,ccmF,ccmE,ccmD,ccmC,ccmB,ccmA,napC,napB,napH,napG,napA,napD,napF","b0785,b0784,b0783,b0782,b0781,b2717,b2718,b2719,b2720,b2721,b2722,b2723,b2724,b2725,b1221,b1222,b2194,b2195,b2196,b2197,b2198,b2199,b2200,b2201,b2202,b2203,b2204,b2205,b2206,b2207,b2208"
XapR-xanthosine DNA-binding transcriptional activator,XapR,xapR,b2405,xapR,TF,"xapB,xapA","b2406,b2407",,,"xapB,xapA","b2406,b2407"
AllR-allantoin,AllR,allR,b0506,allR,TF,"allS,allA,glxK,ybbY,allB,ybbW,glxR,hyi,gcl","b0504,b0505,b0514,b0513,b0512,b0511,b0509,b0508,b0507","allS,allA,glxK,ybbY,allB,ybbW,glxR,hyi,gcl","b0504,b0505,b0514,b0513,b0512,b0511,b0509,b0508,b0507",,
IdnR-5-dehydro-D-gluconate DNA-binding transcriptional dual regulator,IdnR,idnR,b4264,idnR,TF,"gntU,gntK,idnR,idnT,idnO,idnD","b4476,b3437,b4264,b4265,b4266,b4267","gntU,gntK","b4476,b3437","idnK,idnR,idnT,idnO,idnD","b4268,b4264,b4265,b4266,b4267"
