"gene","Bnb","DMmut","DMenv","DMevo","DMstrs","DMstrs_hp","DMstrs_he","DMprtn","DMnoise_ch"
"kefF","b0046",-0.0362764046933596,-0.108502178257186,0.0674991658512125,-0.00492579375071794,0.0376560256017355,-0.0433060291766842,NA,NA
"kefC","b0047",0.0636042449054506,-0.430172334410229,-0.0588895987925048,-0.0769961975170619,0.071001071061097,-0.0740604828559301,-0.417720817261368,-0.189239435560454
"folA","b0048",0.0208099850567937,0.118037618393472,0.0324004893866126,0.0106327231402299,0.108261925251522,0.0273020382789387,-0.0566980116220301,-0.0351056921176537
"apaH","b0049",-0.114950176312779,-0.184545308086742,-0.180051852947086,-0.00637525072498291,-0.0415972900051155,0.0301258920560213,-0.29390365974669,NA
"apaG","b0050",-0.107872006634854,-0.163683115872529,-0.149033725949949,-0.031311873849958,-0.0806780604142142,-0.00423697677117083,-0.476231088963809,-0.0944020284704441
"pdxA","b0052",-0.121261973145249,-0.170221281834953,-0.090510782202075,-0.00548490771702587,-0.0386539453414818,-0.00431388975973906,-0.190349726418915,NA
"surA","b0053",-0.184763886279225,-0.395673608243235,-0.260049766169084,-0.129159306843764,-0.184466293415917,-0.103484631326961,-0.162412765697614,-0.167436730973471
"lptD","b0054",-0.0670946356152846,-0.462015788977502,-0.137072091225353,-0.143728748352783,-0.157167000062718,-0.0352897186226248,-0.190141707469927,NA
"djlA","b0055",-0.162295162417958,-0.249030519430327,-0.236788818067916,-0.0261489469255802,-0.100849424332445,-0.0607711836211454,1.60186843076748,NA
"rluA","b0058",0.0741901578310808,0.356597979142757,0.188889857270087,0.119280821246447,-0.0399006824886289,-0.0257447855969425,NA,0.0361418310655903
"rapA","b0059",0.23871621861097,0.339671659741935,-0.0556148317593688,0.0712815471842156,0.0015694385691728,0.00635973818667881,0.0418693034999188,-0.0937536614181022
"polB","b0060",-0.185781257290981,-0.0446369228894307,-0.182369867890847,0.00419708435992056,-0.104796301017542,-0.0173505185111711,NA,NA
"araD","b0061",0.102802271746639,0.0834684087726539,-0.033883854928864,-0.0105528099738008,-0.00870397460862815,-0.0358346058907562,NA,NA
"araA","b0062",0.00440393267947053,0.133139061420872,-0.231384159970832,-0.0734846488816362,-0.0857258037093958,0.0352576533743781,NA,NA
"araB","b0063",0.140125558525308,0.230230262555737,-0.0187815073937672,-0.0256345664074645,0.0425679493978476,-0.0743528775349447,NA,0.355409090235206
"araC","b0064",0.0349275754151614,0.353041528100927,0.165496041238226,-0.126265301609876,0.096992437367444,-0.0798810285545676,NA,NA
"yabI","b0065",0.00645464881513691,0.0547823091801576,0.346240632829752,0.115429031620784,-0.0201695959379672,-0.0570180916520372,NA,NA
"thiQ","b0066",-0.104375294059991,-0.0100275209754639,-0.28669359553405,0.0548194363969245,0.457644403983415,0.186493642879486,NA,NA
"thiP","b0067",-0.0917312280467793,0.135133960190981,-0.205433225669002,0.0710545353151034,0.575788379555197,0.279368062100909,NA,NA
"thiB","b0068",-0.104355029208661,0.446859930147305,-0.0624153588264558,0.115496132288146,0.829284388418666,0.314797840470071,0.7658445890873,NA
"sgrR","b0069",-0.167342234876984,-0.401566129884276,-0.133124855790409,-0.110905543382618,-0.150433165921567,-0.0870678366668312,NA,NA
"leuD","b0071",0.147339313545354,1.60462524155085,-0.0675438300067368,0.0614392552532851,0.310296139453926,0.0206062533947991,1.08674313547704,NA
"leuC","b0072",0.0110963539987005,1.73185959986818,-0.302467025507362,0.0526542250259057,0.352644483779188,0.0252197314929918,0.656021418623711,NA
