"gene","Bnb","AncHa_rep1_0","AncHa_rep2_0","AncHb_rep1_0","AncHb_rep2_0","H03_10","H04_10","H06_10","H08_10","H10_10","H11_10","H03_30","H04_30","H06_30","H08_30","H10_30","H11_30"
"ybiI","b0803",7.17441129555158,7.07881535819611,6.9244554780084,6.86563532396735,7.20507744330881,8.36947598758258,7.21729105127941,8.42234982282596,8.65094481700149,7.2617595964962,6.04923302163256,5.87833765768777,7.00158756424182,7.27654215046298,8.317456134393,7.51486905882494
"ybiX","b0804",7.83150578693971,7.94315547619798,7.48477566043656,7.47786289135933,7.72948955477414,9.22349279386883,7.51486905882494,9.34041348443956,9.36512188453992,8.01770388203076,6.89033467622554,5.43370045815471,7.71096972359516,8.30483394297309,9.08686078023793,8.22030225330792
"fiu","b0805",8.64583595770214,8.54427392287479,8.91323468282785,9.03814762231375,8.53471151945093,10.3012030596137,8.32814186685911,10.3910747881951,10.9978269150131,9.58367268391592,7.77492566993092,6.02790102134593,8.50024614897477,9.39674021249111,10.359297674713,9.65689162418429
"mcbA","b0806",4.25734170975935,4.34434163572937,4.83962399201406,4.78311906828788,4.81584114298899,4.85132070874787,4.69365734824629,5.0618323062445,5.17411526466428,4.88116639413011,3.92371613558743,5.43948578091453,5.56957779147689,5.22973227134854,5.2930168828052,4.88116639413011
"rlmF","b0807",8.32814186685911,8.0523015096213,7.03848929358961,6.90632076017606,7.71979511141575,7.28759782181705,8.04539121211632,7.61796542362891,6.2751859882037,7.64153138765543,7.22422672146279,7.37304575328279,7.63310209164712,7.43871746649977,6.08230619428544,6.77154354838199
"glnQ","b0809",7.3914541724449,7.60060268663965,7.8828888955577,7.82414118620617,7.38405422536698,8.09208552033724,6.95980255818365,7.58926492347748,8.81730266621841,7.63141574458029,7.88054732669974,7.50517417475097,8.11989900537397,7.50971991656655,8.09454542490663,7.09041011292827
"glnP","b0810",7.69630547663525,7.89615929455986,7.96941997170448,7.8611208758945,7.51310671560644,8.25552901971673,7.50971991656655,7.82772241588395,9.16247819382395,8.01384131011358,7.98029728229462,7.96508969930283,8.38905101456614,7.87021092922625,8.75252863986469,7.35523153166156
"glnH","b0811",9.83800217896624,9.92245336414499,10.9365556364136,10.876978485252,9.78672472559656,10.5855841145433,9.8196530584299,9.97708568634153,12.0682197271849,10.0932919277536,10.0244219665815,10.1276207564544,10.7732749566049,9.99549886964377,12.242163573622,10.359297674713
"dps","b0812",9.58841982191842,9.75244108275828,11.0045482596135,11.0755185576862,10.7354549640782,10.6748664094886,10.3634361308203,8.02471605023816,11.5056071951472,9.51271121047971,10.165058990822,12.2953364115132,11.7468779716639,8.47741847046148,11.7468779716639,11.3934943053374
"rhtA","b0813",7.61649295457045,7.49816951847215,7.98029728229462,7.89424329151019,7.41590653046517,7.24230816917279,7.5118443693157,8.05778759843985,8.44316050975805,8.3141043083198,7.84749788867191,7.88464332244435,7.56886905112581,8.06664124441222,8.0287326944714,7.76354404570607
