"sample_ID","sample","rep_id","Strain.Description","Strain","Base.Media","Carbon.Source..g.L.","Nitrogen.Source..g.L.","Electron.Acceptor","Trace.Element.Mixture","Supplement","Temperature..C.","pH","Culture.Type","Growth.Rate..1.hr."
"ecoli_00378","abx_media__rpmi_trisulf__2",2,"Escherichia coli K-12 MG1655","MG1655","RPMI+10%LB","","","O2","","trimethoprim-sulfamethoxazole(16mg/mL)",37,7,"Batch",NA
"ecoli_00379","abx_media__camhb_trisulf__1",1,"Escherichia coli K-12 MG1655","MG1655","CAMHB","","","O2","","trimethoprim-sulfamethoxazole(16mg/mL)",37,7,"Batch",NA
"ecoli_00380","abx_media__camhb_trisulf__2",2,"Escherichia coli K-12 MG1655","MG1655","CAMHB","","","O2","","trimethoprim-sulfamethoxazole(16mg/mL)",37,7,"Batch",NA
"ecoli_00381","abx_media__m9_cef__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","O2","sauer trace element mixture","ceftriaxone(4.1mg/mL)",37,7,"Batch",NA
"ecoli_00382","abx_media__m9_cef__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","O2","sauer trace element mixture","ceftriaxone(4.1mg/mL)",37,7,"Batch",NA
"ecoli_00383","abx_media__rpmi_cef__1",1,"Escherichia coli K-12 MG1655","MG1655","RPMI+10%LB","","","O2","","ceftriaxone(256ug/mL)",37,7,"Batch",NA
"ecoli_00384","abx_media__rpmi_cef__2",2,"Escherichia coli K-12 MG1655","MG1655","RPMI+10%LB","","","O2","","ceftriaxone(256ug/mL)",37,7,"Batch",NA
"ecoli_00385","abx_media__camhb_cef__1",1,"Escherichia coli K-12 MG1655","MG1655","CAMHB","","","O2","","ceftriaxone(256ug/mL)",37,7,"Batch",NA
"ecoli_00386","abx_media__camhb_cef__2",2,"Escherichia coli K-12 MG1655","MG1655","CAMHB","","","O2","","ceftriaxone(256ug/mL)",37,7,"Batch",NA
"ecoli_00387","abx_media__m9_cipro__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","O2","sauer trace element mixture","ciprofloxacin(32ug/mL)",37,7,"Batch",NA
"ecoli_00388","abx_media__m9_cipro__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","O2","sauer trace element mixture","ciprofloxacin(32ug/mL)",37,7,"Batch",NA
"ecoli_00389","abx_media__rpmi_cipro__1",1,"Escherichia coli K-12 MG1655","MG1655","RPMI+10%LB","","","O2","","ciprofloxacin(64ug/mL)",37,7,"Batch",NA
"ecoli_00390","abx_media__rpmi_cipro__2",2,"Escherichia coli K-12 MG1655","MG1655","RPMI+10%LB","","","O2","","ciprofloxacin(64ug/mL)",37,7,"Batch",NA
"ecoli_00391","abx_media__camhb_cipro__1",1,"Escherichia coli K-12 MG1655","MG1655","CAMHB","","","O2","","ciprofloxacin(16ug/mL)",37,7,"Batch",NA
"ecoli_00392","abx_media__camhb_cipro__2",2,"Escherichia coli K-12 MG1655","MG1655","CAMHB","","","O2","","ciprofloxacin(16ug/mL)",37,7,"Batch",NA
"ecoli_00495","tcs__wt_01-kcl__1",1,"Escherichia coli K-12 MG1655","MG1655","TMA","glucose(4)","NH4Cl(0.535)","O2","","KCl(0.1mM)",37,7,"Batch",NA
"ecoli_00496","tcs__wt_01-kcl__2",2,"Escherichia coli K-12 MG1655","MG1655","TMA","glucose(4)","NH4Cl(0.535)","O2","","KCl(0.1mM)",37,7,"Batch",NA
"ecoli_00497","tcs__wt_01xlb__1",1,"Escherichia coli K-12 MG1655","MG1655","01xLB","","","O2","","",37,7,"Batch",NA
"ecoli_00498","tcs__wt_01xlb__2",2,"Escherichia coli K-12 MG1655","MG1655","01xLB","","","O2","","",37,7,"Batch",NA
"ecoli_00499","tcs__wt_115-kcl__1",1,"Escherichia coli K-12 MG1655","MG1655","TMA","glucose(4)","NH4Cl(0.535)","O2","","KCl(115mM)",37,7,"Batch",NA
"ecoli_00500","tcs__wt_115-kcl__2",2,"Escherichia coli K-12 MG1655","MG1655","TMA","glucose(4)","NH4Cl(0.535)","O2","","KCl(115mM)",37,7,"Batch",NA
"ecoli_00501","tcs__wt_CuSO4__1",1,"Escherichia coli K-12 MG1655","MG1655","LB","","","O2","","CuSO4(0.5mM)",37,7,"Batch",NA
"ecoli_00502","tcs__wt_CuSO4__2",2,"Escherichia coli K-12 MG1655","MG1655","LB","","","O2","","CuSO4(0.5mM)",37,7,"Batch",NA
"ecoli_00503","tcs__wt_etoh__1",1,"Escherichia coli K-12 MG1655","MG1655","LB","","","O2","","Ethanol(5%w/v)",37,7,"Batch",NA
"ecoli_00504","tcs__wt_etoh__2",2,"Escherichia coli K-12 MG1655","MG1655","LB","","","O2","","Ethanol(5%w/v)",37,7,"Batch",NA
"ecoli_00505","tcs__wt_lb__1",1,"Escherichia coli K-12 MG1655","MG1655","LB","","","O2","","",37,7,"Batch",NA
"ecoli_00506","tcs__wt_lb__2",2,"Escherichia coli K-12 MG1655","MG1655","LB","","","O2","","",37,7,"Batch",NA
