"Node","Sector","TRorNon_TR","SRorNon_SR"
"leuT","out","Non-TR","Non-SR"
"yddG","out","Non-TR","Non-SR"
"fecC","out","Non-TR","Non-SR"
"glnB","out","Non-TR","Non-SR"
"ydcT","out","Non-TR","Non-SR"
"DcuR","out","TR","SR"
"mqo","out","Non-TR","Non-SR"
"aceB","out","Non-TR","Non-SR"
"lacZ","out","Non-TR","Non-SR"
"fruK","out","Non-TR","Non-SR"
"phnD","out","Non-TR","Non-SR"
"xerC","out","Non-TR","Non-SR"
"ompN","out","Non-TR","Non-SR"
"ybhI","out","Non-TR","Non-SR"
"dcuB","out","Non-TR","Non-SR"
"sad","out","Non-TR","Non-SR"
"nei","out","Non-TR","Non-SR"
"rplQ","out","Non-TR","Non-SR"
"ybhG","out","Non-TR","Non-SR"
"cynS","out","Non-TR","Non-SR"
"xdhB","out","Non-TR","Non-SR"
"nrdE","out","Non-TR","Non-SR"
"livH","out","Non-TR","Non-SR"
"panF","out","Non-TR","Non-SR"
"casA","out","Non-TR","Non-SR"
"mtlA","out","Non-TR","Non-SR"
"yahE","out","Non-TR","Non-SR"
"frdD","out","Non-TR","Non-SR"
"chiA","out","Non-TR","Non-SR"
"nuoC","out","Non-TR","Non-SR"
"bdm","out","Non-TR","Non-SR"
"yaiW","out","Non-TR","Non-SR"
"selO","out","Non-TR","Non-SR"
"uspE","out","Non-TR","Non-SR"
"RelB","out","TR","Non-SR"
"cheW","out","Non-TR","Non-SR"
"glmS","out","Non-TR","Non-SR"
"BetI","out","TR","SR"
"lipA","out","Non-TR","Non-SR"
"yhbE","out","Non-TR","Non-SR"
"garL","out","Non-TR","Non-SR"
"atpE","out","Non-TR","Non-SR"
"ydeJ","out","Non-TR","Non-SR"
"nrfB","out","Non-TR","Non-SR"
"patZ","out","Non-TR","Non-SR"
"ygiN","out","Non-TR","Non-SR"
"ryjB","out","Non-TR","Non-SR"
"bcsG","out","Non-TR","Non-SR"
"glnQ","out","Non-TR","Non-SR"
"treA","out","Non-TR","Non-SR"
"lspA","out","Non-TR","Non-SR"
"rtcA","out","Non-TR","Non-SR"
"moaB","out","Non-TR","Non-SR"
"hybA","out","Non-TR","Non-SR"
"glcB","out","Non-TR","Non-SR"
"fdoG","out","Non-TR","Non-SR"
"garD","out","Non-TR","Non-SR"
"fliS","out","Non-TR","Non-SR"
"nikB","out","Non-TR","Non-SR"
"flgO","out","Non-TR","Non-SR"
"appX","out","Non-TR","Non-SR"
"ycaD","out","Non-TR","Non-SR"
"yceI","out","Non-TR","Non-SR"
"istR","out","Non-TR","Non-SR"
"yfiR","out","Non-TR","Non-SR"
"ptsH","out","Non-TR","Non-SR"
"relA","out","Non-TR","Non-SR"
"ydhJ","out","Non-TR","Non-SR"
"sgcR","out","Non-TR","Non-SR"
"uhpT","out","Non-TR","Non-SR"
"DinJ-YafQ","out","TR","SR"
"rpsG","out","Non-TR","Non-SR"
"flgN","out","Non-TR","Non-SR"
"spf","out","Non-TR","Non-SR"
"PepA","out","TR","SR"
"yafX","out","Non-TR","Non-SR"
"argX","out","Non-TR","Non-SR"
"proK","out","Non-TR","Non-SR"
"flgM","out","Non-TR","Non-SR"
"xdhC","out","Non-TR","Non-SR"
"envZ","out","Non-TR","Non-SR"
"ycaC","out","Non-TR","Non-SR"
"yacH","out","Non-TR","Non-SR"
"idlP","out","Non-TR","Non-SR"
"artM","out","Non-TR","Non-SR"
"srlA","out","Non-TR","Non-SR"
"poxB","out","Non-TR","Non-SR"
"ygfK","out","Non-TR","Non-SR"
"nuoN","out","Non-TR","Non-SR"
"rplL","out","Non-TR","Non-SR"
"ybdG","out","Non-TR","Non-SR"
"yafP","out","Non-TR","Non-SR"
"dapE","out","Non-TR","Non-SR"
"ychH","out","Non-TR","Non-SR"
"pgaC","out","Non-TR","Non-SR"
"speFL","out","Non-TR","Non-SR"
"HU","out","TR","SR"
"sroA","out","Non-TR","Non-SR"
"xylG","out","Non-TR","Non-SR"
"eutS","out","Non-TR","Non-SR"
"azuC","out","Non-TR","Non-SR"
"yqeG","out","Non-TR","Non-SR"
"ykgE","out","Non-TR","Non-SR"
"alaV","out","Non-TR","Non-SR"
"gatA","out","Non-TR","Non-SR"
"mutS","out","Non-TR","Non-SR"
"araJ","out","Non-TR","Non-SR"
"argF","out","Non-TR","Non-SR"
"phnO","out","Non-TR","Non-SR"
"yhjX","out","Non-TR","Non-SR"
"valW","out","Non-TR","Non-SR"
"yfdV","out","Non-TR","Non-SR"
"mcaS","out","Non-TR","Non-SR"
"yegL","out","Non-TR","Non-SR"
"fliK","out","Non-TR","Non-SR"
"SgrR","out","TR","Non-SR"
"pcm","out","Non-TR","Non-SR"
"adhE","out","Non-TR","Non-SR"
"avtA","out","Non-TR","Non-SR"
"fadJ","out","Non-TR","Non-SR"
"htrE","out","Non-TR","Non-SR"
"AlaS","out","TR","SR"
"yrbN","out","Non-TR","Non-SR"
"actP","out","Non-TR","Non-SR"
"fmt","out","Non-TR","Non-SR"
"malK","out","Non-TR","Non-SR"
"waaZ","out","Non-TR","Non-SR"
"fdnG","out","Non-TR","Non-SR"
"HprR","out","TR","SR"
"potE","out","Non-TR","Non-SR"
"metL","out","Non-TR","Non-SR"
"SrlR","out","TR","SR"
"borD","out","Non-TR","Non-SR"
"oppF","out","Non-TR","Non-SR"
"glnD","out","Non-TR","Non-SR"
"proX","out","Non-TR","Non-SR"
"fimB","out","Non-TR","Non-SR"
"cysN","out","Non-TR","Non-SR"
"ansP","out","Non-TR","Non-SR"
"prfA","out","Non-TR","Non-SR"
"bdcA","out","Non-TR","Non-SR"
"paaG","out","Non-TR","Non-SR"
"cho","out","Non-TR","Non-SR"
"patA","out","Non-TR","Non-SR"
"rpmI","out","Non-TR","Non-SR"
"ryhB","out","Non-TR","Non-SR"
"waaP","out","Non-TR","Non-SR"
"nanX","out","Non-TR","Non-SR"
"btuE","out","Non-TR","Non-SR"
"nuoM","out","Non-TR","Non-SR"
"rplD","out","Non-TR","Non-SR"
"yjiT","out","Non-TR","Non-SR"
"rplC","out","Non-TR","Non-SR"
"nrfE","out","Non-TR","Non-SR"
"ygbK","out","Non-TR","Non-SR"
"caiT","out","Non-TR","Non-SR"
"kdpC","out","Non-TR","Non-SR"
"bglH","out","Non-TR","Non-SR"
"bioB","out","Non-TR","Non-SR"
"rbsA","out","Non-TR","Non-SR"
"sibD","out","Non-TR","Non-SR"
"ydiL","out","Non-TR","Non-SR"
"sdhD","out","Non-TR","Non-SR"
"sdaA","out","Non-TR","Non-SR"
"micF","out","Non-TR","Non-SR"
"murG","out","Non-TR","Non-SR"
"leuA","out","Non-TR","Non-SR"
"yfiB","out","Non-TR","Non-SR"
"allC","out","Non-TR","Non-SR"
"dppA","out","Non-TR","Non-SR"
"yfbR","out","Non-TR","Non-SR"
"rcnA","out","Non-TR","Non-SR"
"ydfO","out","Non-TR","Non-SR"
"lapB","out","Non-TR","Non-SR"
"cas1","out","Non-TR","Non-SR"
"metF","out","Non-TR","Non-SR"
"dnaE","out","Non-TR","Non-SR"
"dsrA","out","Non-TR","Non-SR"
"torI","out","Non-TR","Non-SR"
"argI","out","Non-TR","Non-SR"
"wcaF","out","Non-TR","Non-SR"
"phnL","out","Non-TR","Non-SR"
"aslB","out","Non-TR","Non-SR"
"lldP","out","Non-TR","Non-SR"
"kdsD","out","Non-TR","Non-SR"
"waaS","out","Non-TR","Non-SR"
"rraB","out","Non-TR","Non-SR"
"YefM-YoeB","out","TR","Non-SR"
"ydfW","out","Non-TR","Non-SR"
"edd","out","Non-TR","Non-SR"
"rhaB","out","Non-TR","Non-SR"
"gltW","out","Non-TR","Non-SR"
"fimI","out","Non-TR","Non-SR"
"yecR","out","Non-TR","Non-SR"
