Gene,41_1Ti9,E101,E1167,HS,H120,TA054,TA249,TA280,TA447,M114,E1114,MG1655,ROAR8,JJ1886,UTI89,S88
yfgO,4.899471514,5.01611258,5.038403494,5.069481671,4.749063366,5.421950609,4.661860351,4.987592885,5.441135829,5.05965859,4.892354301,4.761914996,4.751244046,4.929558192,4.912024609,4.92920919
yfhH,5.504114845,5.748286091,6.25290938,5.68640729,5.6918841,6.478060723,5.552697088,5.37083082,6.085787424,5.789268391,6.160392588,6.119328265,5.669032837,5.756667676,5.976469072,5.795554727
yfhL,4.885469893,3.79141851,4.537656252,5.039229192,3.469495695,5.174936667,3.489103311,4.120675685,4.878945362,3.321759349,4.606160699,4.194659461,4.075946596,4.167652084,4.529896369,4.678681066
yfhM,5.371780547,5.375105609,5.346371388,5.215208464,5.412262223,5.467935911,5.226000358,5.272814248,5.557188631,5.482698937,6.331538577,6.18289769,5.068308329,4.795003254,5.473052815,5.615698983
yfhR,2.052431457,1.654920056,2.13499585,1.724670842,1.869402611,2.127613634,0.803798037,0.380144065,1.676602456,0.425939976,3.44568015,0.731671052,0.731532894,0.841888701,1.056215533,1.161277591
yfiC,3.425102786,3.994450269,4.063562158,4.299638104,3.974850517,4.702698169,2.983911215,3.573185017,4.949713487,4.506112984,4.870308987,2.970330128,2.745721387,2.905820806,3.32582834,3.380381262
yfiE,2.677873325,3.244903401,3.751950969,3.481315954,2.53380758,3.345779142,2.088442124,1.967577873,3.210652828,2.832832136,3.466329832,3.78730732,3.187296208,3.311428874,3.736650368,3.75130123
yfiF,5.993567969,6.561094751,6.760549504,6.245872582,6.316398812,6.664471615,6.740972564,6.619046066,7.309209914,6.6068576,6.609257641,5.832182726,6.93937557,7.010425143,6.974617507,7.281843903
yfiL,4.523890775,4.796326051,2.556920957,3.655000216,4.168740833,4.438418392,4.083795517,3.979737827,3.131131399,4.704725171,4.860366154,4.694539447,4.722815103,4.829488653,5.863131255,6.294137041
yfiM,4.860647252,3.341105188,3.602371646,4.021509033,3.729175124,4.806287818,4.460653907,3.624105518,4.185848167,5.074353615,4.296258156,3.510532686,3.745211379,3.759186277,3.736650368,3.901282691
yfiR,5.32535419,5.873939232,5.370229773,5.437489715,5.556715271,6.060200702,5.439960411,5.455352238,6.28358575,5.335253974,5.760019089,6.062844543,5.653066411,5.73377819,6.57365918,6.596094148
yfjD,6.098676033,6.469755995,6.508824858,6.593370088,6.218032837,6.786369639,5.831993053,6.554215151,6.667458755,6.183310228,7.305742734,5.735574876,6.067641733,6.05280712,5.891805646,6.002857293
yfjF,5.81425745,6.816002351,7.187932552,6.923637528,6.862944848,7.116228658,5.257240797,5.288654264,7.605519296,4.909581949,6.848736013,5.539668306,5.72090406,6.903721991,6.450008877,6.620132806
ygaC,5.19054982,5.756958944,4.848785492,4.650734614,4.995988548,6.312577098,5.246420473,5.564433022,5.746424805,5.339326363,5.030095133,4.721053956,5.247328394,4.689744008,5.239429317,5.028717084
ygaH,7.795024965,7.986064214,8.242008036,8.072791948,7.805633277,8.206634219,7.757027892,7.465633556,8.096371151,7.704649557,8.78495592,7.408794442,7.386882739,7.609065183,8.183709204,7.739506348
ygaM,6.431747012,8.233507832,6.320821641,5.556864966,7.269875189,8.254073185,6.565335575,6.582227192,6.920792949,6.081895607,5.040277419,7.260396913,6.477693036,2.839772414,7.422949878,7.778071159
ygaP,4.516131344,4.542989797,4.053455055,5.031213708,3.918221521,4.732500952,4.942658173,4.584275009,4.3949716,4.079352794,5.468484561,4.829452334,4.331361546,4.267435121,4.775794565,4.827204457
ygaV,3.590047725,3.550706625,3.090807419,3.837291606,3.165106907,4.035628394,2.894512385,3.84899811,3.868006843,3.008286837,4.11234305,3.063242102,2.430733735,4.148451008,4.086507646,4.492051382
ygaZ,6.66043329,6.925628329,6.561254282,6.999957482,6.068296467,6.725987455,6.331515206,6.298302461,7.181861272,6.236619869,6.920558774,6.405969491,6.163540932,6.393702694,7.236680305,7.280153949
ygbA,2.49330621,2.801418981,2.882183481,2.567727925,2.954983826,2.058409658,2.900732945,3.331929176,3.170101109,3.279918654,3.915398498,4.090467933,3.50211587,2.797824305,2.942611644,3.4968757
ygbE,5.850605688,6.664937046,6.557506422,6.923715236,6.513178064,6.994090661,5.416648391,5.783913429,7.176099376,5.770954309,6.31608261,6.00649264,5.940509454,5.191649786,5.426830029,5.11662695
ygcE,1.352463453,2.963646322,1.976552461,2.213581328,2.092631072,2.728564921,1.818466286,2.108122249,2.647749729,2.527338935,2.34982155,2.32469374,1.82585125,2.290915538,2.465777884,2.697329323
ygcN,4.263891829,4.296753208,4.444635902,3.982413434,3.93412365,4.353533085,4.538982378,3.578041855,4.339626548,5.049995376,4.778794818,5.127910592,4.085806291,4.895385035,4.952238186,5.452559799
ygcO,2.312191567,3.684598124,3.317273739,3.468325501,3.344957969,2.933186044,2.82923063,2.569952885,3.785657174,3.49025052,4.168773115,3.424597766,2.57663313,4.065246642,3.920748041,3.717247707
ygcP,1.255070874,2.617714523,1.925056788,2.040538403,3.15031692,3.134432268,2.111249797,3.130999184,2.726791839,1.827422589,2.759680302,3.51129412,1.83827207,1.755925513,2.052007522,2.152510686
ygcQ,2.322728895,2.457658493,2.559057698,1.624441102,2.521948824,1.989669452,1.229889181,1.630217545,2.152700314,2.423467786,2.46083058,2.097540289,2.260334395,1.440902677,2.002673575,2.463496258
ygcR,1.017273542,1.059364246,0.726696676,0.71291498,0.368375771,1.790782867,1.244312183,0.653589094,0,1.14042454,0.697396829,0,0.785678261,0.463202515,2.088812507,2.177655978
ygcU,2.61417979,2.634418712,2.756777656,2.200843069,3.303606441,2.508171077,2.4856816,1.978605966,2.767424158,2.377673586,3.395280298,3.131474037,2.091886983,2.240336908,1.88592246,3.691178039
ygdB,1.52462483,2.439613765,0.839868851,1.653911903,1.415969264,2.863411242,0,1.631202625,1.89820709,2.563584436,1.933319003,1.730684062,1.758015276,1.814459344,2.638092634,2.628217409
ygdD,3.867286608,4.526071875,4.415865808,5.080591304,4.530060799,4.688837689,3.043530671,4.070649207,5.192677394,4.288237544,4.631659514,3.26757676,3.613522187,2.971481452,4.013406272,4.516811089
ygdG,5.345405482,5.208673494,5.743340706,6.088307338,5.591080496,5.88173281,5.342172207,5.096346472,5.277401494,5.434406162,5.877406506,5.663336666,4.803206003,5.256948578,5.341525213,5.459103162
ygdI,7.2796131,8.004973847,6.903687376,6.557077981,7.78936083,8.694577751,7.166046183,7.110998013,7.296198772,7.232657644,7.9209572,7.520257551,6.440492278,4.794069327,7.245917707,6.846394355
ygdQ,4.001527635,5.142252216,5.649578167,5.619147378,5.10298517,5.798161342,4.093651685,4.496747227,6.087855101,4.46272917,6.033601826,3.590021067,4.242237183,4.848494136,4.597543271,4.53852485
ygdR,5.701883464,6.186630629,5.122926746,4.906759897,5.48127298,6.354076196,5.5274616,6.48015886,6.138431655,5.499790864,5.689519526,6.03281938,5.855687461,5.882218581,6.168765259,6.621060605
ygdT,0,1.461793069,0,0,1.346840061,2.301173341,2.416077965,3.339486156,1.907876893,1.583809317,3.094158636,2.757676374,0,2.997605053,4.578899601,4.160146425
ygeA,4.588151625,3.799682396,4.240363293,5.449764497,4.168818732,4.576972733,3.900197864,4.459121636,4.218527955,4.119909247,4.740274475,5.452088636,4.622267525,5.427542636,4.935874248,4.957647919
ygeR,6.425031924,6.169122861,6.3288911,6.452973625,5.910310788,6.899697325,6.293448462,5.713791746,6.721246159,6.735612565,6.997867088,6.683473061,6.572623935,5.970798231,5.784421399,6.065235541
