Gene deletion	alpha_max (min-1)	Odmax	ECKnb
rseA	0.010683249112909	0.568873560452441	ECK2570
mltA	0.009548563818388	0.646625580483886	ECK2809
yiaT	0.010337683113063	0.657952388547854	ECK3573
cusC	0.00990407086491	0.632326035958701	ECK0564
dmlR	0.009618383261542	0.622903731904981	ECK1797
rapA	0.011872539875997	0.648731535902392	ECK0060
degP	0.008916858255336	0.624615628446269	ECK0160
dacA	0.008774791256207	0.511918330912692	ECK0625
umuD	0.009388721210107	0.634813867306113	ECK1171
fecR	0.009800254538888	0.629949083616596	ECK4282
mltB	0.009933360601567	0.630439455549191	ECK2696
yeaY	0.010015982984767	0.624582969947568	ECK1804
bamC	0.009679839134502	0.632862271990938	ECK2473
lamB	0.01026991751509	0.596892954284783	ECK4028
gcd	0.010279212982099	0.629905619658092	ECK0123
yeiE	0.01050101321791	0.633319600293889	ECK2150
hrpB	0.010080479802812	0.67109936471412	ECK0147
pepD	0.010165657785859	0.640039056480147	ECK0238
dacC	0.010135189844984	0.642205296469398	ECK0829
ldcA	0.009274041118209	0.655933445205492	ECK1180
slp	0.009848206846133	0.611086025685451	ECK3490
ompA	0.010032418796124	0.619607743569744	ECK0948
truC	0.01065083743598	0.629880647297304	ECK2785
lhr	0.009760001198306	0.625178054248894	ECK1649
prpR	0.009670780683206	0.638750308395574	ECK0328
potH	0.009914736868269	0.665443132138684	ECK0847
sohB	0.0096987597122	0.627284856769835	ECK1266
ydhQ	0.008359483220062	0.570605003690559	ECK1660
pal	0.010046575172333	0.627823427363538	ECK0730
ompC	0.010010860084921	0.625307011899832	ECK2207
fimB	0.009067081634644	0.649132847563183	ECK4303
yqeI	0.010551752896229	0.659904073595738	ECK2845
yiaU	0.009643899222644	0.645850954038707	ECK3574
rhlB	0.009706988490948	0.617861823300203	ECK3772
clpP	0.008242389693765	0.428803778333367	ECK0431
clpA	0.009181552312385	0.662573865824087	ECK0873
flu	0.009080565870041	0.586188178303386	ECK1993
pgpB	0.010119033964148	0.6345987673976	ECK1273
nlpE	0.009752766790262	0.675735032966922	ECK0192
ompF	0.009585757471876	0.623741764791355	ECK0920
fimD	0.009708211532599	0.626179245731841	ECK4308
yidZ	0.009872399813745	0.666208251239475	ECK3704
srmB	0.008635809021134	0.590278959601722	ECK2574
clpX	0.008185300099607	0.545502276335468	ECK0432
pepN	0.009534961324437	0.609681572413074	ECK0923
ompT	0.010576217180347	0.6485690493882	ECK0557
fadL	0.009789718921512	0.670194890771812	ECK2338
ompN	0.009961403787459	0.635537591139296	ECK1372
fimE	0.009744413287913	0.690561979151915	ECK4304
glpX	0.008587530164932	0.59913749015902	ECK3917
hypT	0.009318996285068	0.649892022060312	ECK4318
yoaA	0.009706675404505	0.611879688031641	ECK1806
lon	0.00772793968605	0.461168105909901	ECK0433
hyaD	0.010174863375953	0.554333411177467	ECK0966
ydcP	0.009448600919982	0.532844407355259	ECK1429
pqqL	0.00967683385244	0.607353433096493	ECK1488
nlpD	0.010936585781565	0.622487455385245	ECK2737
agaR	0.00964243363236	0.657423242084844	ECK3119
hslV	0.010302502116851	0.672116794984141	ECK3924
yhjJ	0.009662994199026	0.621511722481659	ECK3512
hflK	0.010187872095088	0.659616574123672	ECK4170
yejG	0.009106589694686	0.586925757398702	ECK2175
yfaD	0.009996125374889	0.624576903259955	ECK2236
yfbP	0.00992564504874	0.620690427180399	ECK2269
yfeD	0.010457939976671	0.663074734776286	ECK2393
sppA	0.010050371308718	0.628312425657223	ECK1764
mepA	0.010097784055373	0.632413375763488	ECK2322
prlF	0.010616370833974	0.657445334601345	ECK3117
prlC	0.008751392337102	0.601594115331132	ECK3483
hflC	0.010175629892147	0.666106177936628	ECK4171
yfaP	0.009516096798254	0.626585073441842	ECK2218
ypaA	0.010043003537674	0.658229567815452	ECK2237
yfbR	0.009564295670701	0.633628771443078	ECK2285
yfeK	0.009269561441937	0.638568194776503	ECK2414
htpX	0.010017296273928	0.666098810718529	ECK1828
ypdF	0.010271252937842	0.631066517039129	ECK2381
ptrA	0.00988664822611	0.621385478242574	ECK2817
yhbU	0.010402694531141	0.635823006931936	ECK3146
pepQ	0.009189045411116	0.631338289351569	ECK3839
zntA	0.010059851590736	0.637488260157189	ECK3453
pepA	0.008417418205034	0.631734975737537	ECK4253
yfaQ	0.010080318337601	0.628236781321982	ECK2219
rhmA	0.010156375502063	0.664867375390345	ECK2238
yfcD	0.008966405922615	0.654911200085056	ECK2293
yfdQ	0.010263074760502	0.678478085847933	ECK2354
yfeY	0.010358348557438	0.669129983562351	ECK2427
prc	0.010050655084487	0.625413996512969	ECK1829
hyfR	0.010143101121542	0.616895639450496	ECK2487
ygeY	0.010373003419125	0.645861758676687	ECK2868
dacB	0.009996513852739	0.618712169314207	ECK3171
ggt	0.010187531733993	0.657160492140208	ECK3431
yfcI	0.009086570154498	0.614815669701471	ECK2299
yfdR	0.009196878425883	0.644494967465983	ECK2355
yfeZ	0.008996461979431	0.637111656969313	ECK2428
ptrB	0.009671790567182	0.685611032875697	ECK1846
pepB	0.009685833737209	0.614090673350652	ECK2520
loiP	0.00975866292143	0.633087518641621	ECK2931
degQ	0.009795089783487	0.640592545469043	ECK3223
yifK	0.0101015924726	0.685003322177838	ECK3788
mrcA	0.009995120834334	0.704275142294245	ECK3383
iadA	0.010463916332504	0.635537704324437	ECK4319
arnD	0.009302263315573	0.613120578888357	ECK2249
yfcL	0.009974114170493	0.663883643156259	ECK2319
eutL	0.009115989285606	0.639118050465996	ECK2434
recA	0.009282860365795	0.661662894081402	ECK2694
yggI	0.009829648267009	0.638046459063627	ECK2939
dgoK	0.009935567576545	0.653753121550367	ECK3686
gspO	0.009956764394361	0.633874930379275	ECK3322
radA	0.00938624046989	0.625679724165109	ECK4381
yfaT	0.010203794313458	0.670496533467183	ECK2221
arnE	0.009759345066325	0.663481080990832	ECK2251
yfcP	0.009898090044706	0.605560744452387	ECK2327
yfdX	0.009180106021307	0.607793803432889	ECK2371
eutA	0.009243546406717	0.603626705607419	ECK2446
hisH	0.008626689542739	0.557871731207424	ECK2018
hycH	0.009851688786996	0.637501068750271	ECK2713
yeiL	0.009542211284898	0.623736575549387	ECK2156
yfaA	0.010395624628452	0.687821523333002	ECK2222
yfcR	0.008976355467309	0.582027881952567	ECK2329
ypeC	0.009303651931064	0.652727920146136	ECK2386
eutT	0.009854831388853	0.650851238716485	ECK2454
hycI	0.009700798960116	0.654510824149651	ECK2712
hslU	0.008830961708178	0.640909171673326	ECK3923
bcsE	0.009535685152166	0.664861744382483	ECK3521
hflX	0.009708143415032	0.648325891365971	ECK4169
psuG	0.008778115348632	0.620256174864983	ECK2158
yfbM	0.009602123576799	0.628396361506862	ECK2266
yfdK	0.009451638132428	0.593138025452854	ECK2348
yfeC	0.009298597587781	0.657583045649412	ECK2392
eutQ	0.009178184614917	0.643011846342284	ECK2455
eutP	0.0101604274138	0.619209896496904	ECK2456
yfjK	0.01076438113205	0.645117039882992	ECK2623
yfjX	0.010425148609959	0.680880260690207	ECK2639
ygbA	0.009975836762277	0.658503741451558	ECK2727
ydgC	0.009916577836804	0.666903988125507	ECK1602
ydhT	0.009228752738745	0.644127215100772	ECK1665
yoaH	0.008776077415767	0.603928849143745	ECK1809
yebE	0.009694921746647	0.629223869551932	ECK1847
yecH	0.009537776890043	0.650627027110406	ECK1905
eutS	0.00993007230813	0.606359693222478	ECK2457
yfjL	0.00986305455008	0.658175052265038	ECK2624
ypjF	0.009488669324367	0.641149144708907	ECK2643
ygbE	0.008357688586436	0.681906744952897	ECK2744
ydfA	0.00948939659865	0.696067554545991	ECK1565
cnu	0.00993912905373	0.597775668007785	ECK1621
ynjH	0.00976234747832	0.640385538394788	ECK1758
yobD	0.009468865260884	0.656204220752494	ECK1818
yebG	0.00775133096278	0.640117639897355	ECK1849
yecF	0.009449926217715	0.677933424499282	ECK1914
ypfG	0.010211824595996	0.683134265219903	ECK2461
yfiM	0.010261928957827	0.677015513169741	ECK2584
yfjM	0.010300283175884	0.628399433864295	ECK2625
ydfC	0.009757402602606	0.605067590220205	ECK1567
ydgK	0.009679626685516	0.610309374703128	ECK1622
ydiH	0.009450917148567	0.611363647064968	ECK1682
yebO	0.010102502556639	0.691589180211547	ECK1823
yedD	0.009494075501026	0.561273517442861	ECK1927
ypfN	0.009495539038699	0.68305562600729	ECK2468
rnlA	0.01016377922565	0.665481278726675	ECK2626
ygbT	0.010263790486669	0.57535245205727	ECK2750
ydfD	0.009914752663977	0.573807206701155	ECK1570
mliC	0.009472288815749	0.572025891350352	ECK1635
yeaC	0.00972055347681	0.625595857495975	ECK1775
yecE	0.009670260074266	0.620951615321302	ECK1869
yedE	0.009644431148457	0.647701722580512	ECK1928
yfiR	0.011330312422816	0.574985922175125	ECK2600
alaE	0.009932593832342	0.62609113575796	ECK2664
casE	0.009817359724203	0.632850095912091	ECK2751
ynfB	0.010032386690241	0.634077714344073	ECK1578
ydhK	0.010294866134725	0.639982399856013	ECK1641
ydiV	0.009179745203731	0.632202137820667	ECK1705
yeaK	0.009401816367433	0.611896145993732	ECK1785
yfhM	0.010249800354234	0.671974571657659	ECK2516
ratA	0.008919345326942	0.600111711586877	ECK2615
yfjQ	0.009037882148399	0.596669733027588	ECK2629
ygaC	0.009681185150773	0.648131651390507	ECK2665
ydiY	0.010070209052636	0.663365019064478	ECK1720
yoaF	0.010055789245943	0.665577852058544	ECK1791
yebY	0.010119891413831	0.660149437883965	ECK1840
yodC	0.010091474207222	0.666264355846529	ECK1955
hcaT	0.009876102885996	0.666184491394194	ECK2533
yfjH	0.009116757733872	0.576587345791034	ECK2619
