regulator_protein_eccid,regulator_genes_eccid,regulator_ids,names,regulation,targets_inhibition_eccid,targets_activation_eccid,protein,regulator,category
PD00288,EG10457,b1237,hns,EG11236@G0-17082@EG10556@EG10555@EG10554@G6543@G6544@G6545@G6546@G0-17023@G6858@G6857@EG10166@EG11158@EG30099@G812@EG11417@EG12360@EG10660@EG10661@EG12608@EG11557@EG11558@EG11559@EG11560@EG11561@EG10547@EG11692@EG11610@EG11609@EG11449@EG12228@EG11966@G6789@G0-16680@EG12241@EG12240@EG11544@G6791@EG10133@EG10821@EG12385@EG11889@EG11890@G7430@G7429@G7428@G7427@G7426@G7425@EG12845@EG10921@G6855@EG10266@EG10267@EG11415@G7946@G7948@G7947@EG10531@G8210@EG10969@EG10970@EG10971@EG10972@EG10974@EG10973@EG30069@EG11175@EG11176@EG10016@EG12760@EG10193@EG10183@EG10198@EG10197@EG10195@EG10452@EG10007@EG12125@EG12124@G0-10437@EG10299@EG10264@EG10297@EG11125@EG11126@EG11127@EG10050@EG30091@EG30103@EG30073@EG30080@EG30009@EG30044@EG30087@EG30076@EG30083@EG30010@EG30045@EG30090@EG30075@EG30082@EG30035@EG30089@EG30072@EG30079@EG30033@EG30086@G0-17102@EG10321@EG12242@EG11237@EG11330@EG10361@EG11329@EG12387@G7394@EG10114@EG10115@EG10116@EG11495@EG10131@EG10132@EG11078@EG10652@EG10457@EG10820@EG11111@EG10680@EG10319@EG10320@EG11501@EG11263@G7701@EG11359@EG12173@G7711@G7710@G7709@G7708@G7707@G7706@G7705@G7704@G7703@G7702@EG11554@G7039@EG11356@EG11355@EG30063@G6088@G7329@EG10312@EG10311@EG10315@EG10314@EG10313@EG10310@EG11974@EG10308@EG10309@EG10618@EG11252@EG12165@EG12167@EG30071@EG30078@EG30032@EG30085@EG10174@EG10173@EG12243@EG50009@G6619@EG10463@EG10125@EG10773@EG10772@EG10771@EG11400@EG11399@EG11398@EG10524@EG10526@EG10527@EG11698@EG10363@EG10366@EG10362@EG11249@EG10571@EG10835@G7055@EG10653@EG10655@EG10654@EG10188@EG10500@EG10499,EG11236@G6543@G6544@G6545@G6546@G0-17023@G6858@G6857@EG10166@EG11158@EG30099@G812@EG11417@EG12360@EG10660@EG10661@EG12608@EG11557@EG11558@EG11559@EG11560@EG11561@EG10547@EG11692@EG11610@EG11609@EG11449@EG12228@EG11966@G6789@G0-16680@EG12241@EG12240@EG11544@G6791@EG10133@EG10821@EG12385@EG11889@EG11890@G7430@G7429@G7428@G7427@G7426@G7425@EG12845@EG10921@G6855@EG10266@EG10267@EG11415@G7946@G7948@G7947@EG10531@EG30069@EG11175@EG11176@EG10016@EG12760@EG10193@EG10183@EG10198@EG10197@EG10195@G6619@EG11125@EG11126@EG11127@EG10050@EG30091@EG30103@EG30073@EG30080@EG30009@EG30044@EG30087@EG30076@EG30083@EG30010@EG30045@EG30090@EG30075@EG30082@EG30035@EG30089@EG30072@EG30079@EG30033@EG30086@EG12242@EG11237@EG10114@EG10115@EG10116@EG11495@EG10131@EG10132@EG11078@EG10652@EG10457@EG10820@EG10680@EG11501@EG11263@G7701@EG11359@EG12173@G7711@G7710@G7709@G7708@G7707@G7706@G7705@G7704@G7703@G7702@EG11554@EG30063@G6088@EG10312@EG10309@EG30071@EG30078@EG30032@EG30085@EG10174@EG10173@EG12243@EG50009@EG10463@EG10125@EG10773@EG10772@EG10771@EG11400@EG11399@EG11398@EG10524@EG10526@EG10527@EG11698@EG10363@EG10366@EG10362@G7055@EG10653@EG10655@EG10654@EG10188@EG10500@EG10499,G0-17082@EG10556@EG10555@EG10554@G8210@EG10969@EG10970@EG10971@EG10972@EG10974@EG10973@EG10452@EG10007@EG12125@EG12124@G0-10437@EG10299@EG10264@EG10297@G0-17102@EG10321@EG11330@EG10361@EG11329@EG12387@G7394@EG11111@EG10319@EG10320@G7039@EG11356@EG11355@G7329@EG10311@EG10315@EG10314@EG10313@EG10310@EG11974@EG10308@EG10618@EG11252@EG12165@EG12167@G6619@EG11249@EG10571@EG10835,DNA-binding transcriptional dual regulator H-NS,H-NS,TF
G7331-MONOMER,G7331,b2537,hcaR,G7331,G7331,G7336@G7335@G7334@M015@M009,DNA-binding transcriptional dual regulator HcaR,HcaR,TF
EG11449-MONOMER,EG11449,b4480,hdfR,EG11450@EG10403@EG10404@EG11514@EG10319@EG10320,EG10319@EG10320,EG11450@EG10403@EG10404@EG11514,DNA-binding transcriptional dual regulator HdfR,HdfR,TF
G6749-MONOMER,G6749,b1438,hicB,G6749@G0-10451,G6749@G0-10451,,antitoxin of the HicA-HicB toxin-antitoxin system /  DNA-binding transcriptional repressor HicB,HicB,TF
CPLX0-8229,G7601,b3082,higA,G7602@G7601,G7602@G7601,,antitoxin/DNA-binding transcriptional repressor HigA,HigA,TF
CPLX0-8230,G7601@G7602,b3082@b3083,higA@higB,G7602@G7601,G7602@G7601,,HigB-HigA toxin/antitoxin complex and DNA-binding transcriptional repressor,HigBA,TF
CPLX0-7425,EG10442@EG10443,b1508@b1507,hipB@hipA,EG11249@EG10571@EG10835@EG10443@EG10442,G36@G7282@G7281@EG11249@EG10571@EG10835@EG10443@EG10442,,HipAB toxin/antitoxin complex / DNA-binding transcriptional repressor,HipAB,TF
EG10442-MONOMER,EG10442,b1508,hipB,G36@G7282@G7281@EG11249@EG10571@EG10835@EG10443@EG10442,G36@G7282@G7281@EG11249@EG10571@EG10835@EG10443@EG10442,,antitoxin/DNA-binding transcriptional repressor HipB,HipB,TF
MONOMER0-4341,G7057,b1969,hprR,EG10182@EG10181@EG10180@EG10179@EG10178@EG12367@G6322@G6321@G6320@G6318@G6319@G7058,EG10182@EG10181@EG10180@EG10179@EG10178,EG12367@G6322@G6321@G6320@G6318@G6319@G7058,DNA-binding transcriptional dual regulator HprR-phosphorylated,HprR,TF
CPLX0-2021,EG10466@EG10467,b4000@b0440,hupA@hupB,EG12144@EG12197@EG10617@EG11041@EG30063@EG11698@EG10363@EG10366@EG10362,EG12144@EG12197@EG10617@EG11041@EG11698@EG10363@EG10366@EG10362,EG30063,DNA-binding transcriptional dual regulator HU,HU,TF
G7308-MONOMER,G7308,b2491,hyfR,G7309@G7308@G7307@G7306@G7305@G7304@G7303@G7302@G7301@G7300@EG11282@EG11150,,G7309@G7308@G7307@G7306@G7305@G7304@G7303@G7302@G7301@G7300@EG11282@EG11150,DNA-binding transcriptional activator HyfR,HyfR,TF
CPLX0-8075,G7924,b4327,hypT,EG10189@EG11504@EG11737@EG11621@EG10290@EG10289@EG10288@EG10287@EG10286@EG10590@EG10582@EG10173@EG10174,EG10290@EG10289@EG10288@EG10287@EG10286,EG10189@EG11504@EG11737@EG11621@EG10590@EG10582@EG10173@EG10174,HypT-[Met-oxidized] DNA-binding transcriptional dual regulator,HypT,TF
CPLX0-7605,EG10491,b4018,iclR,EG10491@EG10023@EG10022@EG10026,EG10491@EG10023@EG10022@EG10026,,IclR-pyruvate DNA-binding transcriptional repressor,IclR,TF
G7891-MONOMER,G7891,b4264,idnR,EG12152,EG12631@EG12629,EG12152@G7891@EG12539@G7892@G7893,DNA-binding transcriptional dual regulator IdnR,IdnR,TF
PC00027,EG10440@EG10441,b1712@b0912,ihfA@ihfB,G7039@EG11356@EG11355@G0-8785@G0-16690@G7347@G7348@EG12341@EG11897@EG10773@EG10772@EG10771@EG10325@G6543@G6544@G6545@G6546@G0-8910@EG12231@EG11390@EG10309@EG11672@EG11669@EG11670@EG11671@EG10326@G7679@EG10443@EG10442@EG10234@EG10233@EG10232@EG10954@EG10369@EG20098@EG10776@EG10777@EG10778@EG10779@EG10780@EG12189@EG11823@G6905@G6906@G6907@G6908@G6909@EG11378@G7596@EG11508@EG11942@EG11943@EG11448@EG12450@G7413@EG11535@G7855@G7860@G7859@G7858@EG12495@EG12494@G7856@G0-16700@EG11933@EG11369@EG11370@G7542@EG20080@G7543@G0-8601@G7544@G7545@EG12031@EG12358@G6476@G6477@G6478@G6479@EG11781@EG11945@EG11946@EG11947@EG11948@EG11949@EG11950@EG10735@EG10783@EG10782@EG10784@EG10734@EG10134@EG10135@EG10402@G0-17009@EG10979@EG10980@EG10981@EG10982@EG12424@EG10761@EG10427@EG10189@EG10190@EG10191@EG10649@EG10301@EG10483@EG10484@EG10485@EG10486@EG10487@G7414@EG10481@EG10480@EG10479@EG10478@EG10477@EG10476@EG10475@EG10474@EG11415@EG10389@EG10388@EG10386@G7624@G7626@G7627@EG11172@EG10991@EG10990@EG10989@EG12093@EG11773@EG12092@EG12091@EG12090@EG12089@EG12088@EG12087@EG11774@EG12086@EG12084@EG12083@EG12082@EG12628@EG12627@EG12626@EG12625@EG10248@EG10319@EG10320@EG10953@EG10617@EG11041@EG11391@EG11501@EG11972@EG11973@EG10044@EG10403@EG10404@EG11514@EG30063@EG10701@EG11258@EG10897@G7750@G7751@EG10311@EG10315@EG10314@EG10313@EG10310@EG11974@EG10308@EG10269@EG10672@G6708@G6719@G6718@G6717@G6716@G6715@G6714@G6713@G6712@G6711@G6710@G6709@EG10659@EG12278@G0-10641@G8221@EG10493@EG10496@EG10497@EG10501@EG11270@EG12281@EG12287@EG12286@EG12285@EG12284@EG12283@EG12282@EG12280@EG12279@EG10441@EG10440@EG10023@EG10022@EG10026@EG10399@EG10401@EG11311@EG10317@EG10671@EG10670@EG10653@EG10655@EG10654@EG10188@G0-17088@EG10642@EG10638@EG10639@EG10641@EG10640@EG11926@EG11925@EG11924@EG11923,G7039@EG11356@EG11355@G0-16690@G7347@G7348@EG12341@EG11897@EG12231@EG10134@EG10135@EG10234@EG10233@EG10232@EG10954@EG20098@EG12189@EG11823@EG11942@EG11943@EG11448@EG12450@G7413@G7855@G7860@G7859@G7858@EG12495@EG12494@G7856@EG11369@EG11370@EG12358@G6476@G6477@G6478@G6479@EG11781@EG11945@EG11946@EG11947@EG11948@EG11949@EG11950@G0-17009@EG10979@EG10980@EG10981@EG10982@EG10649@EG12093@EG11773@EG12092@EG12091@EG12090@EG12089@EG12088@EG12087@EG11774@EG12086@EG12084@EG12083@EG12082@EG10319@EG10320@EG10953@EG10617@EG11041@EG11391@EG10044@EG30063@EG10269@EG10672@EG10659@EG12278@G0-10641@G8221@EG10493@EG10496@EG10497@EG10501@EG11270@EG10441@EG10440@EG10399@EG10401@EG10671@EG10670@EG10653@EG10655@EG10654@EG10188,G0-8785@EG10773@EG10772@EG10771@EG10325@G6543@G6544@G6545@G6546@G0-8910@EG11390@EG10309@EG11672@EG11669@EG11670@EG11671@EG10326@G7679@EG10443@EG10442@EG10369@EG10776@EG10777@EG10778@EG10779@EG10780@G6905@G6906@G6907@G6908@G6909@EG11378@EG11508@EG12450@G7413@EG11535@G0-16700@EG11933@G7542@EG20080@G7543@G0-8601@G7544@G7545@EG12031@EG12358@G6476@G6477@G6478@G6479@EG11781@EG11945@EG11946@EG11947@EG11948@EG11949@EG11950@EG10735@EG10783@EG10782@EG10784@EG10734@EG10134@EG10135@EG10402@EG12424@EG10761@EG10427@EG10189@EG10190@EG10191@EG10301@EG10483@EG10484@EG10485@EG10486@EG10487@G7414@EG10481@EG10480@EG10479@EG10478@EG10477@EG10476@EG10475@EG10474@EG11415@EG10389@EG10388@EG10386@G7624@G7626@G7627@EG11172@EG10991@EG10990@EG10989@EG12628@EG12627@EG12626@EG12625@EG10248@EG11501@EG11972@EG11973@EG10403@EG10404@EG11514@EG10701@EG11258@EG10897@G7750@G7751@EG10311@EG10315@EG10314@EG10313@EG10310@EG11974@EG10308@G6708@G6719@G6718@G6717@G6716@G6715@G6714@G6713@G6712@G6711@G6710@G6709@G0-10641@G8221@EG10493@EG10496@EG10497@EG10501@EG11270@EG12281@EG12287@EG12286@EG12285@EG12284@EG12283@EG12282@EG12280@EG12279@EG10023@EG10022@EG10026@EG11311@EG10317@EG10671@EG10653@EG10655@EG10654@EG10188@G0-17088@EG10642@EG10638@EG10639@EG10641@EG10640@EG11926@EG11925@EG11924@EG11923,DNA-binding transcriptional dual regulator IHF,IHF,TF
PD00200,EG10503,b3773,ilvY,EG10503,EG10503,EG10495,DNA-binding transcriptional dual regulator IlvY,IlvY,TF
G7326-MONOMER,G7326,b2531,iscR,G7401@G7402@EG12381@EG20257@G7366@G7365@G7748@EG12332@G6924@EG12060@EG12061@EG12062@EG12064@EG12067@EG12143@EG12068@G6905@G6906@G6907@G6908@G6909@EG11378@EG10468@EG10469@EG10470@EG10471@EG10472@EG10473,G7366@G7365@G7748@EG12332@EG12060@EG12061@EG12062@EG12064@EG12067@EG12143@EG12068@EG10468@EG10469@EG10470@EG10471@EG10472@EG10473@G6515@EG12132@G7324@G7325@G7326,G7401@G7402@EG12381@EG20257@G6924@G6905@G6906@G6907@G6908@G6909@EG11378,DNA-binding transcriptional dual regulator IscR,IscR,TF
G7003-MONOMER,G7003,b1827,kdgR,EG10257@EG10256,EG10257@EG10256,,DNA-binding transcriptional repressor KdgR,KdgR,TF
CPLX0-7795,EG10517,b0694,kdpE,G0-10439@EG10515@EG10514@EG10513,,G0-10439@EG10515@EG10514@EG10513,DNA-binding transcriptional activator KdpE-phosphorylated,KdpE,TF
PD00763,EG10525,b0345,lacI,EG10524@EG10526@EG10527,EG10524@EG10526@EG10527,,DNA-binding transcriptional repressor LacI,LacI,TF
PD00519,EG10531,b0076,leuO,G6351@EG11514@G7551@G7550@G7430@G7429@G7428@G7427@G7426@G7425@EG12845@G7047@G7948@G7947@EG10133@EG10114@EG10115@EG10116@EG10531@EG11575@EG11576@EG11577@EG11226@EG11280,G6351@EG11514@G7551@G7550@EG10531@G7047@EG10133,G7430@G7429@G7428@G7427@G7426@G7425@EG12845@G7948@G7947@EG10114@EG10115@EG10116@EG10531@EG11575@EG11576@EG11577@EG11226@EG11280,DNA-binding transcriptional dual regulator LeuO,LeuO,TF
PC00010,EG10533,b4043,lexA,G6992@EG10833@EG10824@EG10826@EG10786@EG10265@EG10347@EG10339@EG10342@EG10214@EG10619@EG10623@EG10344@EG10620@EG10604@EG10622@EG10621@EG10341@EG11086@G6464@EG11193@EG11808@G6558@EG11892@G0-9582@G6937@EG11775@G6110@G6109@G6118@G6117@G6116@G6115@G7940@EG11992@EG10831@G0-9962@EG11580@EG11357@EG11063@EG11140@RUVB@RUVA@EG10747@G0-9981@G7777@G6933@EG11057@EG11056@EG11064@EG11062@EG11061@EG10984@EG10976@EG12080@EG10823@EG10920@EG10239@EG10896@EG10736@EG10533@EG11491,G6992@EG10833@EG10824@EG10826@EG10786@EG10265@EG10347@EG10339@EG10342@EG10214@EG10619@EG10623@EG10344@EG10620@EG10604@EG10622@EG10621@EG10341@EG11086@G6464@EG11193@EG11808@G6558@EG11892@G0-9582@G6937@EG11775@G6110@G6109@G6118@G6117@G6116@G6115@G7940@EG11992@EG10831@G0-9962@EG11580@EG11357@EG11063@EG11140@RUVB@RUVA@EG10747@G0-9981@G7777@G6933@EG11057@EG11056@EG11064@EG11062@EG11061@EG10984@EG10976@EG12080@EG10823@EG10920@EG10239@EG10896@EG10736@EG10533@EG11491,,DNA-binding transcriptional repressor LexA,LexA,TF
EG11962-MONOMER,EG11962,b3604,lldR,EG11963@EG11962@EG11961,EG11963@EG11962@EG11961,EG11963@EG11962@EG11961,DNA-binding transcriptional dual regulator LldR,LldR,TF
EG12123-MONOMER,EG12123,b2289,lrhA,EG10531@EG12123@EG10319@EG10320@EG10312,EG10319@EG10320,EG10531@EG12123@EG10312,DNA-binding transcriptional dual regulator LrhA,LrhA,TF
PD00353,EG10547,b0889,lrp,EG11969@G6393@G7258@EG10951@G7871@G7864@G7465@G0-16657@G7050@G6995@G6955@G6176@G7931@G7853@G7833@EG11936@EG11870@EG11684@G0-10468@EG11964@EG12624@EG12262@EG12254@EG12228@EG11184@EG12834@G7695@EG11970@G7683@EG12794@G7574@G7573@EG11152@G7152@EG11895@EG11807@G6969@G6967@G6894@G6860@G6788@EG11640@G6742@G6741@G0-10591@G6638@EG11342@EG11516@EG12444@EG11117@EG11116@G6460@G6447@G6423@G6417@EG12421@G6408@EG11108@G6361@G6329@G6323@G6324@G6228@G6158@G6098@EG12605@EG12611@G6081@EG11451@EG11332@EG11370@EG11032@EG11017@EG11013@EG11585@EG10984@EG11428@EG12732@G0-9388@EG10958@EG11664@G6882@EG10947@G6811@EG12341@EG11738@EG10907@EG10898@EG10879@EG10869@EG11827@EG11443@EG11259@EG11507@EG11322@EG11469@EG10835@EG12045@G7575@EG10811@EG11809@EG10798@EG11682@EG11933@EG11612@EG10955@EG10759@EG11510@EG10746@EG10744@EG10742@EG11734@EG10727@G6397@EG12211@EG10684@EG10683@EG10673@EG10666@EG12082@EG12068@G7072@EG10627@EG11160@G6255@EG10613@EG12427@EG11344@EG30058@EG10587@EG11880@EG10566@EG10464@G6465@EG11306@EG10531@EG11280@EG11226@G592@EG10509@EG11256@G7923@G7272@G6360@G7583@EG11535@EG11534@EG11972@G6500@EG11681@G6619@EG10600@EG10599@EG10414@EG10405@EG10389@EG10387@EG12191@EG10386@EG10383@EG10379@G7542@EG10372@G0-8914@EG12242@EG11490@G7832@EG10356@EG10331@EG10330@EG11355@EG10280@G7213@EG10271@EG12267@EG10258@EG11693@EG12232@EG10248@G6627@EG11643@G7049@G6673@G6972@EG10220@EG10216@EG10215@EG10184@EG10012@EG11210@EG11217@EG12854@G6463@EG10158@EG12198@G7071@EG12319@EG10129@G6557@G6312@EG10105@EG10098@G6944@EG10097@EG10096@EG10092@EG10091@EG11624@EG11625@EG10079@EG10072@EG10071@EG10070@EG10063@EG10062@EG11934@G7458@EG10034@G7399@G7184@G7595@G6396@G7752@G7872@G7464@G7922@EG12475@EG11935@EG11928@EG12249@G7756@G7596@G7214@G7190@EG11998@EG12868@G6466@G6453@EG12422@G6394@EG11246@EG11042@EG11041@G6877@EG11277@EG10945@EG12142@EG11403@EG11629@EG10695@EG10617@EG12069@EG10589@EG12123@G6573@EG10539@G6984@EG10342@EG10255@EG12504@G7329@EG12168@EG10107@EG10095@EG10046@EG10023@G7877@EG11158@EG30099@EG10131@EG10132@EG11337@EG10031@EG10553@EG11810@EG10371@EG11442@EG10680@EG10944@EG10930@EG10674@EG10675@EG10676@EG10677@EG10678@EG11811@EG10562@EG10993@EG10512@EG11391@EG11554@EG10536@EG10537@EG10541@EG10538@EG10540@EG10403@EG10404@EG11514@EG10547@EG30063@EG10312@EG10311@EG10315@EG10314@EG10313@EG10310@EG11974@EG10308@EG11408@EG11407@G0-10641@G8221@EG10493@EG10496@EG10497@EG10501@EG11270@EG10946@EG10073@EG10670@EG10500@EG10499,EG11624@G7871@G7864@G7465@G7050@G7931@EG11870@EG12624@EG12228@G7683@EG12794@G7574@G7573@EG11152@EG11895@EG11807@G6967@EG11640@EG11342@EG11516@EG11117@EG11116@G6447@G6423@G6417@G6408@EG11108@G6361@G6329@G6323@EG11451@EG11332@EG11032@EG11017@EG11013@EG11585@EG11428@EG12732@G0-9388@G6882@EG10947@EG10946@EG10907@EG10898@EG10879@EG10869@EG11443@EG11259@G7877@EG11322@EG12045@G7575@EG10798@EG11682@EG10759@EG11510@EG10746@EG10742@G6397@EG12211@EG10684@EG10683@EG10666@EG12082@EG12068@EG10627@EG11160@G6255@EG10613@EG11344@EG30058@EG10587@EG10566@EG11337@EG10464@G6465@EG10531@EG11226@EG10512@EG10509@G7923@G7272@EG11681@G6619@EG10600@EG10599@EG10414@EG10405@EG10379@G7542@EG10372@EG11442@EG12242@EG11490@G7832@EG10331@EG10330@EG11355@G7213@EG11693@EG12232@EG10248@G6627@G7049@G6673@G6972@EG10220@EG10216@EG10215@EG10184@EG10012@EG11217@EG12854@EG10129@EG10105@EG10098@G6944@EG10097@EG10095@EG11625@EG10079@EG10073@EG10071@EG10070@EG10063@EG10062@EG11934@EG10046@G7458@EG10034@G7399@G7595@G6396@G7872@G7922@EG12475@EG11935@EG11928@G7756@G7596@G7214@G7190@EG11998@EG12868@G6466@G6453@EG12422@G6394@EG11246@EG11042@EG11041@G6877@EG11277@EG12142@EG11403@EG11629@EG10695@EG10617@EG12069@EG10589@EG10342@EG10255@EG12504@G7329@EG12168@EG11158@EG30099@EG10499@EG10500@EG10031@EG10553@EG10680@EG10930@EG10674@EG10675@EG10676@EG10677@EG10678@EG11811@EG11391@EG10536@EG10537@EG10541@EG10538@EG10540@EG10547@EG11408@EG11407@G6984@EG10107@G7184@EG11400@EG11399@EG11398@EG30091@EG30103@EG30073@EG30080@EG30009@EG30044@EG30087@EG30076@EG30083@EG30010@EG30045@EG30090@EG30075@EG30082@EG30035@EG30089@EG30074@EG30081@EG30034@EG30088@EG30072@EG30079@EG30033@EG30086@EG30070@EG30077@EG30008@EG30043@EG30084@EG10944@EG10539@EG30063@EG30071@EG30078@EG30032@EG30085@G0-10641@G8221@EG10493@EG10496@EG10497@EG10501@EG11270@EG10670,EG11969@G6393@G7258@EG10951@G7871@G7864@G0-16657@G6995@G6955@G6176@G7931@G7853@G7833@EG11936@EG11684@G0-10468@EG11964@EG12262@EG12254@G7756@EG11184@EG12834@G7695@EG11970@G7574@G7573@G7152@EG11895@G6969@G6894@G6860@G6788@G6742@G6741@G0-10591@G6638@EG11516@EG12444@G6460@EG12421@G6408@G6394@G6324@G6228@G6158@G6098@EG12605@EG12611@G6081@EG11370@EG11042@EG11041@EG10984@EG10958@EG11664@G6882@G6811@EG12341@EG11738@EG10879@EG11827@EG11259@EG11507@EG11469@EG10835@EG10811@EG11809@EG10798@EG11933@EG11612@EG10955@EG11403@EG11629@EG10744@EG11734@EG10727@G7596@EG12211@EG10673@G7072@EG12427@EG11880@EG10540@EG10539@EG11306@EG10531@EG11280@EG11226@G592@EG10509@EG11256@G6360@G7583@EG11270@EG11535@EG11534@EG11972@G6500@EG10599@EG10389@EG10387@EG12191@EG10386@EG10383@G7542@G0-8914@EG12242@G7832@EG10356@EG11355@EG10280@G7213@EG10271@EG12267@EG10258@EG10248@EG11643@G6673@EG11407@G7329@EG11210@G6463@EG10158@EG12198@G7071@EG12319@G6557@G6312@G6944@EG10096@EG10092@EG10091@EG11624@EG11625@EG10079@EG10072@EG10070@G7184@EG10031@G6396@G7752@G7464@EG12249@EG10945@EG12123@G6573@EG10107@EG10095@EG10046@EG10023@G7877@EG10131@EG10132@EG11337@EG11810@EG10371@EG11442@EG10680@EG10944@EG10562@EG10993@EG10512@EG11554@EG10312@EG10311@EG10315@EG10314@EG10313@EG10310@EG11974@EG10308@EG10946@EG10073@EG10500@EG10499@G7399@EG11159@EG12070@EG10403@EG10404@EG11514@EG11330@EG10361@EG11329@EG12387@G7394@EG12031,DNA-binding transcriptional dual regulator Lrp,Lrp,TF
CPLX0-8043,G6799,b1512,lsrR,G6798@G6799@G6806@G6805@G6804@G6803@G6802@G6801@G6800,G6798@G6799@G6806@G6805@G6804@G6803@G6802@G6801@G6800,,DNA-binding transcriptional repressor LsrR,LsrR,TF
PD00360,EG10551,b2839,lysR,EG10551@EG10549,EG10551,EG10549,DNA-binding transcriptional dual regulator LysR,LysR,TF
PD00361,EG10557,b1620,malI,EG10563@EG10564@EG10557,EG10563@EG10564@EG10557,,DNA-binding transcriptional repressor MalI,MalI,TF
MONOMER0-158,EG10562,b3418,malT,EG10565@EG11316@EG10558@EG10528@EG10559@G0-17082@EG10556@EG10555@EG10554@EG10561@EG10560,,EG10565@EG11316@EG10558@EG10528@EG10559@G0-17082@EG10556@EG10555@EG10554@EG10561@EG10560,DNA-binding transcriptional activator MalT-maltotriose-ATP,MalT,TF
PD00365,EG11434,b1531,marA,G6607@G6606@G6605@G6604@EG10524@EG10526@EG10527@EG11072@EG12801@EG12800@EG12799@G7659@G7658@EG10035@G7654@EG12656@EG10570@EG11411@EG10207@G6396@G6763@EG11325@G6447@EG10852@EG11261@EG12842@EG11426@EG11425@G6247@EG11165@EG11164@EG11009@EG11422@EG50005@EG10790@EG11366@EG11221@EG11435@EG11434@EG11599@EG10358@EG10953@EG11889@EG11890@EG30063@EG10651@EG10628@G6492@G6491@G6490@EG10801@EG10754@EG11703@EG11704@EG11400@EG11399@EG11398,EG10524@EG10526@EG10527@EG10790@EG11366@EG11889@EG11890@EG11400@EG11399@EG11398,G6607@G6606@G6605@G6604@EG11072@EG12801@EG12800@EG12799@G7659@G7658@EG10035@G7654@EG12656@EG10570@EG11411@EG10207@G6396@G6763@EG11325@G6447@EG10852@EG11261@EG12842@EG11426@EG11425@G6247@EG11165@EG11164@EG11009@EG11422@EG50005@EG11221@EG11435@EG11434@EG11599@EG10358@EG10953@EG30063@EG10651@EG10628@G6492@G6491@G6490@EG10801@EG10754@EG11703@EG11704,DNA-binding transcriptional dual regulator MarA,MarA,TF
CPLX0-7710,EG11435,b1530,marR,EG11435@EG11434@EG11599,EG11435@EG11434@EG11599,,DNA-binding transcriptional repressor MarR,MarR,TF
G6165-MONOMER,G6165,b0294,matA,G0-17102@EG10321@G7039@EG11356@EG11355@G6165@G6164@EG10319@EG10320,G0-17102@EG10321@G7039@EG11356@EG11355@EG10319@EG10320,G6165@G6164,DNA-binding transcriptional dual regulator MatA,MatA,TF
EG10571-MONOMER,EG10571,b2783,mazE,EG10572@EG11249@EG10571,EG10572@EG11249@EG10571,,antitoxin of the MazF-MazE toxin-antitoxin system MazE,MazE,TF
CPLX0-1242,EG11249@EG10571,b2782@b2783,mazF@mazE,EG10572@EG11249@EG10571,EG10572@EG11249@EG10571,,MazE-MazF antitoxin/toxin complex / DNA-binding transcriptional repressor,MazE-MazF,TF
G6761-MONOMER,G6761,b1450,mcbR,EG50004@EG11738@EG11125@EG11126@EG11127@G6415,G6415,EG50004@EG11738@EG11125@EG11126@EG11127,DNA-binding transcriptional dual regulator McbR,McbR,TF
PD00208,EG11230,b4118,melR,EG10577@EG10578@EG11230,EG10577@EG10578@EG11230,EG10577@EG10578@EG11230,DNA-binding transcriptional dual regulator MelR,MelR,TF
CPLX0-7796,EG10588,b3938,metJ,EG10581@EG10585@EG11384@EG11385@EG10583@EG10584@EG10591@EG10590@EG10582@EG10589@EG11375@EG11290@EG11504@EG11737@EG11621,EG10581@EG10585@EG11384@EG11385@EG10583@EG10584@EG10591@EG10590@EG10582@EG10589@EG11375@EG11290@EG11504@EG11737@EG11621,,DNA-binding transcriptional repressor MetJ-<i>S</i>-adenosyl-L-methionine,MetJ,TF
CPLX0-7759,EG10591,b3828,metR,EG10587@EG10456,EG10408@EG10591,EG10587@EG10456@EG10584@EG10408,DNA-binding transcriptional dual regulator MetR,MetR,TF
MONOMER0-1441,G6201,b0346,mhpR,M014@G6205@M013@M012@M011@M010,,M014@G6205@M013@M012@M011@M010,DNA-binding transcriptional activator MhpR-3-(3-hydroxyphenyl)propanoate,MhpR,TF
PD01896,G6852,b1594,mlc,EG10787@EG10567@EG10568@EG10569@EG10562@EG10788@EG10789@EG10165@G6851@G6852,EG10787@EG10567@EG10568@EG10569@EG10562@EG10788@EG10789@EG10165@G6851@G6852,,DNA-binding transcriptional repressor Mlc,Mlc,TF
EG12008-MONOMER,EG12008,b2127,mlrA,G7657@G7656@EG11499@EG50002@EG50001@EG10133@G6543@G6544@G6545@G6546,,G7657@G7656@EG11499@EG50002@EG50001@EG10133@G6543@G6544@G6545@G6546,DNA-binding transcriptional activator MlrA,MlrA,TF
PC00103,EG11109,b0730,mngR,EG13236@EG13235@EG11109,EG13236@EG13235@EG11109,,DNA-binding transcriptional repressor MngR,MngR,TF
CPLX0-7672,G6420,b0817,mntR,EG11415@G0-8881@G0-10715@G6999@G7254,EG11415@G0-8881@G0-10715@G7254,G6999,MntR-Mn<sup>2+</sup> DNA-binding transcriptional dual regulator,MntR,TF
